Orthogroup	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4	Total
OG0000000	160	158	81	3	26	141	1	4	34	2	84	2	48	3	112	26	62	28	2	1	1	4	1	32	2	53	1	1	1	2	39	2	1	1	1	1	1121
OG0000001	35	50	37	25	10	50	12	14	22	11	25	24	33	13	51	21	44	47	13	13	14	14	13	26	12	26	12	12	16	13	41	18	12	20	16	12	827
OG0000002	35	32	29	14	16	30	9	10	20	11	22	13	30	16	31	26	25	42	14	14	10	14	12	24	10	30	11	8	9	11	31	9	11	13	10	13	665
OG0000003	46	53	37	4	12	37	4	4	25	6	21	10	30	2	44	30	33	56	3	3	3	6	6	21	6	32	19	1	1	3	56	2	2	1	11	17	647
OG0000004	82	22	51	4	10	47	4	4	18	5	25	1	32	3	81	33	56	14	3	3	3	6	4	38	4	38	6	1	2	3	12	0	3	3	4	4	629
OG0000005	23	25	36	7	38	24	2	1	7	7	88	8	12	14	17	13	17	20	4	4	1	8	3	11	5	48	1	1	3	1	43	4	33	27	5	51	612
OG0000006	27	54	42	17	12	18	11	12	29	13	14	7	17	11	18	22	20	20	11	11	11	13	12	19	13	51	14	8	6	11	16	9	9	9	11	14	612
OG0000007	70	87	8	0	38	33	1	1	2	0	110	0	34	0	30	6	36	91	0	0	0	0	0	12	0	17	1	0	0	0	7	0	0	0	0	1	585
OG0000008	20	14	10	2	26	11	5	8	8	15	14	33	16	40	23	8	12	13	2	3	2	4	4	15	93	10	9	3	36	3	23	5	6	6	22	38	562
OG0000009	40	34	14	10	9	61	4	6	21	5	14	7	22	14	27	12	23	31	9	8	5	14	13	20	7	13	8	2	3	5	16	5	1	4	2	2	491
OG0000010	33	38	25	4	12	40	1	1	15	2	12	10	18	2	45	13	36	39	2	2	3	2	2	23	1	30	1	1	1	2	42	1	1	1	0	2	463
OG0000011	6	30	24	0	38	69	0	0	1	0	65	3	39	0	56	8	64	4	0	0	0	0	0	16	0	29	0	0	0	0	1	0	0	0	0	0	453
OG0000012	45	81	36	0	8	42	0	0	4	0	25	0	18	0	33	9	34	19	0	0	0	0	0	12	0	22	0	0	0	0	15	0	0	0	0	0	403
OG0000013	9	10	8	19	2	3	16	13	2	19	9	2	6	13	7	3	3	6	13	11	5	18	16	8	18	7	11	10	9	6	2	21	20	15	10	17	367
OG0000014	11	11	14	13	6	17	4	10	10	10	39	6	14	9	13	8	14	29	9	8	4	9	8	10	11	15	11	3	3	5	10	3	2	2	4	11	366
OG0000015	20	17	20	9	7	14	5	7	9	7	7	6	19	6	20	11	13	11	6	6	6	8	8	17	7	18	7	7	5	5	13	4	9	9	8	9	360
OG0000016	19	29	26	4	7	42	0	0	8	2	7	9	7	2	32	5	27	44	1	1	2	5	2	13	2	12	2	0	0	1	23	1	1	1	1	2	340
OG0000017	29	17	20	11	4	11	3	1	24	6	31	1	22	2	26	8	12	20	3	4	3	4	5	21	4	21	4	1	1	0	13	3	0	0	1	4	340
OG0000018	29	20	9	7	9	20	7	6	9	6	15	5	11	7	21	9	10	15	6	5	5	6	7	10	5	13	5	3	6	4	11	12	5	5	6	6	335
OG0000019	4	7	6	29	1	3	16	7	3	15	5	0	3	14	4	9	2	5	11	11	10	13	9	3	26	5	13	3	3	6	9	21	11	9	11	21	328
OG0000020	12	10	11	11	3	9	4	10	3	10	4	2	14	11	17	8	6	15	10	10	10	10	11	10	10	9	12	6	4	7	11	13	7	7	8	12	327
OG0000021	42	25	17	5	3	18	2	3	32	6	9	1	15	1	22	7	12	24	2	2	2	4	2	15	2	22	6	3	3	1	5	1	1	1	3	3	322
OG0000022	7	15	11	7	8	12	7	6	7	10	11	0	11	10	20	9	9	7	10	10	9	9	7	28	9	11	9	5	5	11	3	2	5	5	4	6	315
OG0000023	11	29	20	7	3	38	0	1	9	1	22	8	5	1	34	5	26	33	1	1	1	1	1	10	0	13	0	3	0	1	24	2	1	0	2	1	315
OG0000024	13	5	8	5	10	7	0	2	3	3	20	25	3	5	9	2	4	5	4	1	1	1	4	3	10	20	6	3	0	3	20	7	5	35	2	50	304
OG0000025	25	47	8	0	36	18	0	0	5	0	28	1	18	0	19	1	12	51	0	0	0	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	296
OG0000026	23	18	16	6	2	32	3	4	4	4	15	0	13	3	49	1	20	2	3	3	3	4	4	19	3	7	4	3	3	3	1	3	3	3	2	3	289
OG0000027	11	9	13	9	7	8	6	10	6	9	9	5	7	7	10	9	6	8	7	7	6	9	9	13	8	13	5	3	6	7	11	10	6	4	6	9	288
OG0000028	63	51	7	0	3	28	0	0	0	0	4	0	17	0	29	3	37	7	0	0	0	0	0	16	0	21	0	0	0	0	1	0	0	0	0	0	287
OG0000029	14	17	21	2	7	13	1	1	10	1	12	7	13	1	27	12	13	27	1	1	1	1	1	11	1	13	7	1	1	1	25	1	1	0	8	7	281
OG0000030	17	7	15	4	2	31	4	4	8	4	7	5	12	4	12	14	9	16	4	4	4	4	4	17	3	14	6	3	4	4	10	4	5	5	5	4	279
OG0000031	14	4	63	2	1	47	1	1	2	1	47	0	7	1	24	1	18	6	1	1	1	1	1	5	1	8	1	1	1	1	8	3	1	1	1	1	278
OG0000032	77	44	44	0	0	59	0	0	1	0	0	0	4	0	4	0	20	18	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	274
OG0000033	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273
OG0000034	27	21	7	6	5	11	5	6	6	6	2	2	10	6	10	7	10	10	6	6	5	6	6	10	6	7	6	6	6	5	11	6	5	5	6	6	271
OG0000035	5	5	3	0	5	43	0	0	1	0	2	0	35	0	49	4	44	9	0	0	0	0	0	33	0	5	0	0	0	0	27	0	0	0	0	0	270
OG0000036	5	6	2	4	0	3	5	4	2	40	4	1	2	16	5	0	4	6	13	10	11	24	13	2	30	3	4	4	18	7	2	5	3	4	1	4	267
