	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4
Number of genes	37306	31489	23656	9622	14647	25422	7034	8032	16956	8675	33363	8451	20053	7954	45317	12560	19437	32348	8066	7833	7896	9088	8473	18112	8249	24703	8642	6328	6387	7491	31473	7095	7447	8958	8199	10513
Number of genes in orthogroups	34148	27968	21723	8645	8070	23763	6766	7653	14109	8622	22208	5622	19046	7797	36124	11487	18096	23018	8025	7812	7791	8801	8297	16267	8127	22205	7776	5915	5945	7471	24013	6049	7108	8276	8052	9383
Number of unassigned genes	3158	3521	1933	977	6577	1659	268	379	2847	53	11155	2829	1007	157	9193	1073	1341	9330	41	21	105	287	176	1845	122	2498	866	413	442	20	7460	1046	339	682	147	1130
Percentage of genes in orthogroups	91.5	88.8	91.8	89.8	55.1	93.5	96.2	95.3	83.2	99.4	66.6	66.5	95.0	98.0	79.7	91.5	93.1	71.2	99.5	99.7	98.7	96.8	97.9	89.8	98.5	89.9	90.0	93.5	93.1	99.7	76.3	85.3	95.4	92.4	98.2	89.3
Percentage of unassigned genes	8.5	11.2	8.2	10.2	44.9	6.5	3.8	4.7	16.8	0.6	33.4	33.5	5.0	2.0	20.3	8.5	6.9	28.8	0.5	0.3	1.3	3.2	2.1	10.2	1.5	10.1	10.0	6.5	6.9	0.3	23.7	14.7	4.6	7.6	1.8	10.7
Number of orthogroups containing species	14637	14346	11512	6319	4417	12298	5780	6556	8578	7078	9015	3591	11569	6516	14871	8806	11268	10668	6983	6860	6919	7345	7190	10411	6702	12360	6566	5328	5228	6684	10486	4782	6205	5915	6106	7222
Percentage of orthogroups containing species	33.1	32.5	26.1	14.3	10.0	27.8	13.1	14.8	19.4	16.0	20.4	8.1	26.2	14.7	33.7	19.9	25.5	24.1	15.8	15.5	15.7	16.6	16.3	23.6	15.2	28.0	14.9	12.1	11.8	15.1	23.7	10.8	14.0	13.4	13.8	16.3
Number of species-specific orthogroups	1548	1643	742	74	489	665	13	21	479	8	2959	187	524	7	2329	70	367	1253	7	0	7	18	5	352	17	894	41	4	10	2	3045	41	25	134	66	97
Number of genes in species-specific orthogroups	7259	5476	4062	478	2206	3913	43	154	2740	66	11049	912	2055	27	9001	332	1896	4111	19	0	17	61	11	1464	122	3710	139	9	41	4	10666	227	73	1225	929	480
Percentage of genes in species-specific orthogroups	19.5	17.4	17.2	5.0	15.1	15.4	0.6	1.9	16.2	0.8	33.1	10.8	10.2	0.3	19.9	2.6	9.8	12.7	0.2	0.0	0.2	0.7	0.1	8.1	1.5	15.0	1.6	0.1	0.6	0.1	33.9	3.2	1.0	13.7	11.3	4.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	29540	29831	32665	37858	39760	31879	38397	37621	35599	37099	35162	40586	32608	37661	29306	35371	32909	33509	37194	37317	37258	36832	36987	33766	37475	31817	37611	38849	38949	37493	33691	39395	37972	38262	38071	36955
'1	9143	8811	8526	5225	3131	9014	5239	5942	6676	6353	4432	2769	8816	5891	7685	7694	9098	5641	6392	6320	6373	6613	6546	8009	6087	9113	5855	4932	4777	6170	4839	4085	5697	5086	5419	6288
'2	2752	3195	1590	711	774	1711	382	440	1150	458	2679	512	1565	431	3687	721	1215	2819	401	363	378	469	437	1422	405	1782	518	295	348	372	3462	471	360	599	481	638
'3	1072	1108	536	203	205	618	73	94	314	129	788	150	559	101	1435	187	385	1020	105	98	99	130	111	453	103	598	95	68	62	85	1100	131	78	101	98	152
'4	499	471	275	75	90	284	43	38	136	53	351	55	227	40	707	72	183	445	41	42	36	60	47	200	38	299	45	16	14	27	432	50	31	35	31	57
'5	259	227	135	33	51	177	13	10	73	22	203	24	115	15	390	48	106	240	14	11	15	20	17	91	20	139	19	6	8	14	214	13	12	23	18	27
'6	190	143	72	13	25	97	10	12	57	16	117	16	70	11	233	21	59	155	11	11	7	13	11	53	8	90	10	5	10	7	99	6	7	11	13	16
'7	140	79	83	13	31	77	3	2	32	8	91	10	49	5	174	10	27	77	5	1	3	6	4	40	8	68	5	1	2	4	76	4	4	9	3	4
'8	98	59	50	7	18	38	2	3	29	10	52	13	28	3	123	13	29	49	2	4	1	8	6	22	4	56	4	2	1	1	43	1	2	6	6	5
'9	83	46	37	8	15	46	3	1	20	2	43	3	15	3	70	10	37	39	2	0	1	5	3	11	5	28	2	0	2	0	37	4	4	8	0	3
'10	51	27	31	2	14	28	2	5	13	9	36	3	6	2	55	1	15	33	2	3	3	6	0	20	5	20	1	1	0	0	20	3	0	4	4	0
11-15	162	95	71	14	19	93	5	5	23	12	91	17	59	9	144	12	54	74	6	5	3	11	7	43	8	68	8	1	0	4	80	6	7	5	13	9
16-20	64	31	34	7	16	40	3	2	12	3	50	9	25	2	58	6	21	33	0	0	0	1	1	21	6	41	4	1	3	0	26	5	2	5	6	7
21-50	93	45	56	6	26	57	2	1	35	3	68	8	29	2	90	8	30	35	2	2	0	3	0	24	4	48	0	0	1	0	44	3	1	19	8	14
51-100	22	8	14	2	2	14	0	1	6	0	12	2	4	0	16	1	6	7	0	0	0	0	0	2	1	8	0	0	0	0	11	0	0	4	5	2
101-150	5	0	1	0	0	3	0	0	1	0	2	0	1	1	3	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0
151-200	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	66.9	67.5	73.9	85.7	90.0	72.2	86.9	85.2	80.6	84.0	79.6	91.9	73.8	85.3	66.3	80.1	74.5	75.9	84.2	84.5	84.3	83.4	83.7	76.4	84.8	72.0	85.1	87.9	88.2	84.9	76.3	89.2	86.0	86.6	86.2	83.7
'1	20.7	19.9	19.3	11.8	7.1	20.4	11.9	13.5	15.1	14.4	10.0	6.3	20.0	13.3	17.4	17.4	20.6	12.8	14.5	14.3	14.4	15.0	14.8	18.1	13.8	20.6	13.3	11.2	10.8	14.0	11.0	9.2	12.9	11.5	12.3	14.2
