sp,short_len,short_fract,short_unass_len,short_singleton_len,short_both_groups_len
10D,1138275,0.062580398858607,230164,278321,0
13G,952680,0.0594991139898175,251675,200429,0
16Ckin,578744,0.0464370889472645,107268,131001,0
Angomonas_deanei,303915,0.0752963952422162,53794,13792,0
Azumiobodo_hoyamushi,928094,0.170315727504819,573975,144795,0
BABKIN,923473,0.0827417224274972,146129,213062,0
Blastocrithidia_nonstop,134669,0.0289108139741576,7574,848,0
Blechomonas_ayalai,201391,0.0455425859168524,23064,11286,0
Bodo_saltans,485017,0.0532889794122772,145824,89877,0
Crithidia_fasciculata,174140,0.0331517292241993,3171,690,0
Cruzella_marina,1600706,0.11097135657486,875967,500650,0
Cryptobia_borreli,548821,0.212868262936547,259270,77096,0
D44,344655,0.0283063496795717,54098,41209,0
Endotrypanum_monterogeii,184363,0.0388169732433374,14202,2712,0
G65133,3038821,0.241332695565451,877626,663622,0
Gemkin,267881,0.0340263869911669,73539,17389,0
INUKIN,570441,0.0599350428162234,109747,100832,0
KUCKIN,2776479,0.404865155479457,988781,399033,0
Leishmania_infantum,172161,0.0337687918233551,3315,1528,0
Leishmania_major_strain_Friedlin,143560,0.0277886875110213,147,0,0
Leishmania_orientalis,163000,0.0322756618738299,8931,1224,0
Leptomonas_pyrrhocoris,203839,0.0361358874874976,27056,5488,0
Leptomonas_seymouri_BHU1095,188964,0.035674828256222,17768,872,0
Neobodo_designis,848296,0.131462302236094,171158,88121,0
Novymonas_esmeraldas,174338,0.034759809829718,9287,3211,0
OB23,607304,0.0419748377952414,164242,93886,0
Paratrypanosoma_confusum,155232,0.0292045452621348,19023,1440,0
Phytomonas_sp._EM1,184044,0.0589992024189019,33876,843,0
Phytomonas_sp._Hart1,211674,0.072268178259731,37189,3031,0
Porcisia_hertigi,152404,0.0320630405105043,1888,384,0
RhMon,1436690,0.12073053617269,543543,522883,0
Strigomonas_culicis,244271,0.0875334426048573,68762,10136,0
Trypanosoma_brucei_gambiense_DAL972,177855,0.0442845084520404,0,0,0
Trypanosoma_congolense_IL3000,284621,0.0677017015755065,74056,56287,0
Trypanosoma_cruzi_CLBrenerEsmeraldo-like,205067,0.0493695878215889,0,358,0
Trypanosoma_grayi_ANR4,421974,0.0918292202043696,114349,26701,0
