# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Complete	Gene.4120::NODE_291::g.4120::m.4120	1488.9	1479	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Complete	Gene.5595::NODE_426::g.5595::m.5595	2505.5	1733	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Complete	Gene.10992::NODE_995::g.10992::m.10992	2674.5	1622	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Complete	Gene.21725::NODE_2414::g.21725::m.21725	481.4	1005	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Fragmented	Gene.21484::NODE_2377::g.21484::m.21484	535.2	502	https://v10-1.orthodb.org/?query=395at33682	Type II pantothenate kinase
408at33682	Complete	Gene.8154::NODE_684::g.8154::m.8154	587.5	1304	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Complete	Gene.17675::NODE_1832::g.17675::m.17675	1107.7	1216	https://v10-1.orthodb.org/?query=442at33682	Immunoglobulin-like fold
454at33682	Complete	Gene.21272::NODE_2347::g.21272::m.21272	721.1	868	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
467at33682	Missing
608at33682	Complete	Gene.24392::NODE_2817::g.24392::m.24392	1073.2	996	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Complete	Gene.26471::NODE_3146::g.26471::m.26471	1304.3	964	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
884at33682	Missing
965at33682	Complete	Gene.32094::NODE_4107::g.32094::m.32094	1204.7	890	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
1175at33682	Complete	Gene.33098::NODE_4283::g.33098::m.33098	1293.4	1053	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Complete	Gene.52407::NODE_8282::g.52407::m.52407	841.1	768	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Complete	Gene.63246::NODE_10997::g.63246::m.63246	568.9	545	https://v10-1.orthodb.org/?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Complete	Gene.37205::NODE_5052::g.37205::m.37205	624.4	770	https://v10-1.orthodb.org/?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	Gene.8825::NODE_755::g.8825::m.8825	418.5	652	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
