file	C	S	D	F	M	n	species	group
10D_ORIGINAL_NON_comp.fasta_EUGL.txt	87	61	26	10	33	130	10D	Bodonids
13G_ORIGINAL_NON_comp.fasta_EUGL.txt	85	50	35	10	35	130	13G	Bodonids
16Ckin_ORIGINAL_NON_comp.fasta_EUGL.txt	104	84	20	3	23	130	16Ckin	Bodonids
Acrasis_kona_ORIGINAL_denovo.fasta_EUGL.txt	31	26	5	9	90	130	Acrasis_kona	Other
Acrasis_kona_ORIGINAL_REF_comp.fasta_EUGL.txt	40	31	9	6	84	130	Acrasis_kona	Other
Angomonas_deanei_ORIGINAL_NON_comp.fasta_EUGL.txt	102	102	0	22	6	130	Angomonas_deanei	Trypanosomatids
Apiculatamorpha_spiralis_ORIGINAL_NON_comp.fasta_EUGL.txt	84	63	21	12	34	130	Apiculatamorpha_spiralis	Trypanosomatids
Azumiobodo_hoyamushi_ORIGINAL_NON_comp.fasta_EUGL.txt	36	32	4	8	86	130	Azumiobodo_hoyamushi	Bodonids
BABKIN_ORIGINAL_NON_comp.fasta_EUGL.txt	93	78	15	7	30	130	BABKIN	Bodonids
Blastocrithidia_nonstop_ORIGINAL_NON_comp.fasta_EUGL.txt	120	120	0	3	7	130	Blastocrithidia_nonstop	Trypanosomatids
Blechomonas_ayalai_ORIGINAL_NON_comp.fasta_EUGL.txt	129	129	0	1	0	130	Blechomonas_ayalai	Trypanosomatids
Bodo_saltans_ORIGINAL_denovo.fasta_EUGL.txt	72	61	11	4	54	130	Bodo_saltans	Bodonids
Bodo_saltans_ORIGINAL_REF_comp.fasta_EUGL.txt	114	111	3	11	5	130	Bodo_saltans	Bodonids
Capsaspora_owczarzaki_ORIGINAL_denovo.fasta_EUGL.txt	35	31	4	7	88	130	Capsaspora_owczarzaki	Other
Capsaspora_owczarzaki_ORIGINAL_REF.fasta_EUGL.txt	41	37	4	8	81	130	Capsaspora_owczarzaki	Other
Chlamydomonas_reinhardtii_ORIGINAL_REF.fasta_EUGL.txt	36	27	9	11	83	130	Chlamydomonas_reinhardtii	Other
Crithidia_fasciculata_ORIGINAL_REF_comp.fasta_EUGL.txt	126	126	0	2	2	130	Crithidia_fasciculata	Trypanosomatids
Cruzella_marina_ORIGINAL_NON_comp.fasta_EUGL.txt	53	34	19	9	68	130	Cruzella_marina	Bodonids
Cryptobia_borreli_ORIGINAL_NON_comp.fasta_EUGL.txt	36	34	2	13	81	130	Cryptobia_borreli	Bodonids
D44_ORIGINAL_NON_comp.fasta_EUGL.txt	93	72	21	6	31	130	D44	Bodonids
Diplonema_papillatum_ORIGINAL_denovo.fasta_EUGL.txt	38	32	6	12	80	130	Diplonema_papillatum	Euglenozoa_Other
Diplonema_papillatum_ORIGINAL_REF_comp.fasta_EUGL.txt	55	47	8	8	67	130	Diplonema_papillatum	Euglenozoa_Other
Emiliania_huxleyi_ORIGINAL_denovo.fasta_EUGL.txt	18	16	2	10	102	130	Emiliania_huxleyi	Other
Emiliania_huxleyi_ORIGINAL_REF.fasta_EUGL.txt	31	19	12	9	90	130	Emiliania_huxleyi	Other
