file	C	S	D	F	M	n	species	group
10D_NR90_NON_comp.fasta_EUK.txt	151	142	9	24	80	255	10D	Bodonids
13G_NR90_NON_comp.fasta_EUK.txt	149	140	9	23	83	255	13G	Bodonids
16Ckin_NR90_NON_comp.fasta_EUK.txt	158	152	6	16	81	255	16Ckin	Bodonids
Acrasis_kona_NR90_denovo.fasta_EUK.txt	203	197	6	19	33	255	Acrasis_kona	Other
Acrasis_kona_NR90_REF_comp.fasta_EUK.txt	220	212	8	15	20	255	Acrasis_kona	Other
Angomonas_deanei_NR90_NON_comp.fasta_EUK.txt	116	114	2	30	109	255	Angomonas_deanei	Trypanosomatids
Apiculatamorpha_spiralis_NR90_NON_comp.fasta_EUK.txt	165	154	11	21	69	255	Apiculatamorpha_spiralis	Trypanosomatids
Azumiobodo_hoyamushi_NR90_NON_comp.fasta_EUK.txt	48	44	4	19	188	255	Azumiobodo_hoyamushi	Bodonids
BABKIN_NR90_NON_comp.fasta_EUK.txt	137	132	5	24	94	255	BABKIN	Bodonids
Blastocrithidia_nonstop_NR90_NON_comp.fasta_EUK.txt	138	134	4	15	102	255	Blastocrithidia_nonstop	Trypanosomatids
Blechomonas_ayalai_NR90_NON_comp.fasta_EUK.txt	143	139	4	22	90	255	Blechomonas_ayalai	Trypanosomatids
Bodo_saltans_NR90_denovo.fasta_EUK.txt	80	76	4	12	163	255	Bodo_saltans	Bodonids
Bodo_saltans_NR90_REF_comp.fasta_EUK.txt	139	135	4	23	93	255	Bodo_saltans	Bodonids
Capsaspora_owczarzaki_NR90_denovo.fasta_EUK.txt	224	223	1	5	26	255	Capsaspora_owczarzaki	Other
Capsaspora_owczarzaki_NR90_REF.fasta_EUK.txt	236	236	0	8	11	255	Capsaspora_owczarzaki	Other
Chlamydomonas_reinhardtii_NR90_REF.fasta_EUK.txt	235	232	3	9	11	255	Chlamydomonas_reinhardtii	Other
Crithidia_fasciculata_NR90_REF_comp.fasta_EUK.txt	139	136	3	20	96	255	Crithidia_fasciculata	Trypanosomatids
Cruzella_marina_NR90_NON_comp.fasta_EUK.txt	84	81	3	20	151	255	Cruzella_marina	Bodonids
Cryptobia_borreli_NR90_NON_comp.fasta_EUK.txt	45	44	1	27	183	255	Cryptobia_borreli	Bodonids
D44_NR90_NON_comp.fasta_EUK.txt	144	137	7	28	83	255	D44	Bodonids
Diplonema_papillatum_NR90_denovo_EUK.txt	142	137	5	34	79	255	Diplonema_papillatum	Euglenozoa_Other
Diplonema_papillatum_NR90_REF_EUK.txt	178	170	8	19	58	255	Diplonema_papillatum	Euglenozoa_Other
Emiliania_huxleyi_NR90_denovo.fasta_EUK.txt	76	75	1	47	132	255	Emiliania_huxleyi	Other
Emiliania_huxleyi_NR90_REF.fasta_EUK.txt	146	142	4	40	69	255	Emiliania_huxleyi	Other
Endotrypanum_monterogeii_NR90_REF_comp.fasta_EUK.txt	143	140	3	18	94	255	Endotrypanum_monterogeii	Trypanosomatids
Euglena_gracilis_NR90_NON_comp.fasta_EUK.txt	185	179	6	34	36	255	Euglena_gracilis	Euglenozoa_Other
G65133_NR90_NON_comp.fasta_EUK.txt	125	120	5	35	95	255	G65133	Bodonids
Gemkin_NR90_NON_comp.fasta_EUK.txt	132	126	6	12	111	255	Gemkin	Bodonids
INUKIN_NR90_NON_comp.fasta_EUK.txt	133	127	6	27	95	255	INUKIN	Bodonids
KUCKIN_NR90_NON_comp.fasta_EUK.txt	102	101	1	46	107	255	KUCKIN	Bodonids
Leishmania_infantum_NR90_denovo_EUK.txt	57	57	0	10	188	255	Leishmania_infantum	Trypanosomatids
Leishmania_infantum_NR90_REF_EUK.txt	137	135	2	22	96	255	Leishmania_infantum	Trypanosomatids
Leishmania_major_NR90_denovo_EUK.txt	117	114	3	19	119	255	Leishmania_major	Trypanosomatids
Leishmania_major_NR90_REF_EUK.txt	138	135	3	24	93	255	Leishmania_major	Trypanosomatids
Leishmania_orientalis_NR90_NON_comp.fasta_EUK.txt	140	137	3	21	94	255	Leishmania_orientalis	Trypanosomatids
Leptomonas_pyrrhocoris_NR90_denovo.fasta_EUK.txt	118	115	3	35	102	255	Leptomonas_pyrrhocoris	Trypanosomatids
Leptomonas_pyrrhocoris_NR90_REF_comp.fasta_EUK.txt	146	141	5	20	89	255	Leptomonas_pyrrhocoris	Trypanosomatids
Leptomonas_seymouri_NR90_denovo.fasta_EUK.txt	134	131	3	17	104	255	Leptomonas_seymouri	Trypanosomatids
Leptomonas_seymouri_NR90_REF_comp.fasta_EUK.txt	145	141	4	19	91	255	Leptomonas_seymouri	Trypanosomatids
Monocercomonoides_exilis_NR90_denovo_EUK.txt	121	114	7	35	99	255	Monocercomonoides_exilis	Other
Monocercomonoides_exilis_NR90_REF_EUK.txt	155	141	14	10	90	255	Monocercomonoides_exilis	Other
Naegleria_fowleri_NR90_denovo.fasta_EUK.txt	181	179	2	8	66	255	Naegleria_fowleri	Other
Naegleria_fowleri_NR90_REF_comp.fasta_EUK.txt	219	218	1	7	29	255	Naegleria_fowleri	Other
Neobodo_designis_NR90_NON_comp.fasta_EUK.txt	124	121	3	22	109	255	Neobodo_designis	Bodonids
Novymonas_esmeraldas_NR90_REF_comp.fasta_EUK.txt	132	129	3	19	104	255	Novymonas_esmeraldas	Trypanosomatids
OB23_NR90_NON_comp.fasta_EUK.txt	165	157	8	13	77	255	OB23	Bodonids
Ophirina_chinija_NR90_NON_comp.fasta_EUK.txt	209	205	4	17	29	255	Ophirina_chinija	Other
Papus_ankaliazontas_NR90_NON_comp.fasta_EUK.txt	163	157	6	19	73	255	Papus_ankaliazontas	Prokinetoplastids
Paratrypanosoma_confusum_NR90_NON_comp.fasta_EUK.txt	137	132	5	23	95	255	Paratrypanosoma_confusum	Trypanosomatids
Perkinsela_spCCAP_1560_NR90_NON_comp.fasta_EUK.txt	87	83	4	17	151	255	Perkinsela_spCCAP_1560	Prokinetoplastids
Pharyngomonas_kirbyi_NR90_NON_comp.fasta_EUK.txt	217	214	3	17	21	255	Pharyngomonas_kirbyi	Other
Phytomonas_sp._EM1_NR90_NON_comp.fasta_EUK.txt	123	121	2	24	108	255	Phytomonas_sp._EM1	Trypanosomatids
Phytomonas_sp._Hart1_NR90_NON_comp.fasta_EUK.txt	126	125	1	20	109	255	Phytomonas_sp._Hart1	Trypanosomatids
Porcisia_hertigi_NR90_REF_comp.fasta_EUK.txt	144	141	3	21	90	255	Porcisia_hertigi	Trypanosomatids
Rhabdomonas_costata_NR90_NON_comp.fasta_EUK.txt	162	154	8	35	58	255	Rhabdomonas_costata	Euglenozoa_Other
RhMon_NR90_NON_comp.fasta_EUK.txt	125	121	4	30	100	255	RhMon	Bodonids
Rhynchopus_humris_NR90_NON_comp.fasta_EUK.txt	176	172	4	19	60	255	Rhynchopus_humris	Euglenozoa_Other
Saccharomyces_cerevisiae_NR90_denovo.fasta_EUK.txt	111	111	0	7	137	255	Saccharomyces_cerevisiae	Other
Saccharomyces_cerevisiae_NR90_REF.fasta_EUK.txt	239	237	2	2	14	255	Saccharomyces_cerevisiae	Other
Strigomonas_culicis_NR90_NON_comp.fasta_EUK.txt	117	113	4	23	115	255	Strigomonas_culicis	Trypanosomatids
