# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Complete	Gene.3084::NODE_997::g.3084::m.3084	566.5	813	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Duplicated	Gene.648::NODE_159::g.648::m.648	2182.7	1570	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
199at33682	Duplicated	Gene.643::NODE_158::g.643::m.643	2182.7	1570	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Complete	Gene.819::NODE_206::g.819::m.819	2591.4	1628	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Complete	Gene.1889::NODE_563::g.1889::m.1889	342.5	947	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Missing
408at33682	Complete	Gene.513::NODE_120::g.513::m.513	572.6	1140	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Complete	Gene.1107::NODE_294::g.1107::m.1107	1069.2	1164	https://v10-1.orthodb.org/?query=442at33682	Immunoglobulin-like fold
454at33682	Duplicated	Gene.1988::NODE_601::g.1988::m.1988	651.3	952	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
454at33682	Duplicated	Gene.1989::NODE_602::g.1989::m.1989	649.4	952	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
467at33682	Missing
608at33682	Complete	Gene.2840::NODE_911::g.2840::m.2840	1040.2	1006	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Duplicated	Gene.5042::NODE_1738::g.5042::m.5042	946.4	850	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
863at33682	Duplicated	Gene.5086::NODE_1756::g.5086::m.5086	946.4	850	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
863at33682	Duplicated	Gene.4186::NODE_1404::g.4186::m.4186	912.5	782	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
884at33682	Missing
965at33682	Complete	Gene.4928::NODE_1696::g.4928::m.4928	1141.4	1024	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
1175at33682	Complete	Gene.4037::NODE_1346::g.4037::m.4037	1153.7	1049	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Duplicated	Gene.25355::NODE_11938::g.25355::m.25355	387.4	342	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1392at33682	Duplicated	Gene.25740::NODE_12174::g.25740::m.25740	387.4	342	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Complete	Gene.8742::NODE_3316::g.8742::m.8742	399.2	545	https://v10-1.orthodb.org/?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Complete	Gene.5976::NODE_2113::g.5976::m.5976	521.8	755	https://v10-1.orthodb.org/?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	Gene.7689::NODE_2835::g.7689::m.7689	209.0	436	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	Gene.10756::NODE_4203::g.10756::m.10756	994.8	780	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1732at33682	Complete	Gene.9666::NODE_3704::g.9666::m.9666	661.3	705	https://v10-1.orthodb.org/?query=1732at33682	WD40 repeat
1814at33682	Fragmented	Gene.29328::NODE_14356::g.29328::m.29328	101.2	165	https://v10-1.orthodb.org/?query=1814at33682	Acyl-CoA binding protein, putative
1820at33682	Missing
1881at33682	Complete	Gene.13939::NODE_5785::g.13939::m.13939	822.0	643	https://v10-1.orthodb.org/?query=1881at33682	Tetratricopeptide-like helical domain superfamily
1904at33682	Complete	Gene.8089::NODE_3030::g.8089::m.8089	945.5	807	https://v10-1.orthodb.org/?query=1904at33682	26S Proteasome non-ATPase regulatory subunit 1
1927at33682	Complete	Gene.2875::NODE_925::g.2875::m.2875	551.9	551	https://v10-1.orthodb.org/?query=1927at33682	Peroxisome biogenesis factor 1
2035at33682	Duplicated	Gene.7181::NODE_2608::g.7181::m.7181	917.0	808	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2035at33682	Duplicated	Gene.7185::NODE_2609::g.7185::m.7185	916.7	808	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2058at33682	Complete	Gene.13959::NODE_5794::g.13959::m.13959	260.3	533	https://v10-1.orthodb.org/?query=2058at33682	RNA ligase T4  Rnl1, N-terminal
2142at33682	Complete	Gene.4769::NODE_1636::g.4769::m.4769	971.7	1099	https://v10-1.orthodb.org/?query=2142at33682	SMCs flexible hinge
2207at33682	Missing
2282at33682	Duplicated	Gene.10509::NODE_4077::g.10509::m.10509	528.2	713	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2282at33682	Duplicated	Gene.10510::NODE_4078::g.10510::m.10510	527.6	713	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2363at33682	Complete	Gene.18340::NODE_8024::g.18340::m.18340	292.2	465	https://v10-1.orthodb.org/?query=2363at33682	Ubiquitin specific protease, conserved site
2770at33682	Complete	Gene.14528::NODE_6062::g.14528::m.14528	382.2	553	https://v10-1.orthodb.org/?query=2770at33682	Gamma tubulin complex component, C-terminal
2874at33682	Duplicated	Gene.4847::NODE_1662::g.4847::m.4847	306.5	521	https://v10-1.orthodb.org/?query=2874at33682	Peptidase S59, nucleoporin
2874at33682	Duplicated	Gene.4842::NODE_1661::g.4842::m.4842	306.5	521	https://v10-1.orthodb.org/?query=2874at33682	Peptidase S59, nucleoporin
2960at33682	Complete	Gene.4919::NODE_1693::g.4919::m.4919	391.7	656	https://v10-1.orthodb.org/?query=2960at33682	Helicase, C-terminal
3056at33682	Complete	Gene.11510::NODE_4576::g.11510::m.11510	578.8	599	https://v10-1.orthodb.org/?query=3056at33682	MATH/TRAF domain
3118at33682	Complete	Gene.6382::NODE_2272::g.6382::m.6382	401.6	756	https://v10-1.orthodb.org/?query=3118at33682	Tetratricopeptide repeat
3306at33682	Missing
3331at33682	Complete	Gene.5860::NODE_2069::g.5860::m.5860	880.0	783	https://v10-1.orthodb.org/?query=3331at33682	SNF2-related, N-terminal domain
3344at33682	Duplicated	Gene.17085::NODE_7360::g.17085::m.17085	794.3	528	https://v10-1.orthodb.org/?query=3344at33682	tRNA wybutosine-synthesis
3344at33682	Duplicated	Gene.16792::NODE_7213::g.16792::m.16792	794.0	528	https://v10-1.orthodb.org/?query=3344at33682	tRNA wybutosine-synthesis
3381at33682	Complete	Gene.12174::NODE_4903::g.12174::m.12174	954.1	649	https://v10-1.orthodb.org/?query=3381at33682	MCM domain
3383at33682	Duplicated	Gene.15257::NODE_6440::g.15257::m.15257	385.6	444	https://v10-1.orthodb.org/?query=3383at33682	Tetratricopeptide repeat
3383at33682	Duplicated	Gene.15255::NODE_6439::g.15255::m.15255	384.7	444	https://v10-1.orthodb.org/?query=3383at33682	Tetratricopeptide repeat
3515at33682	Complete	Gene.12709::NODE_5167::g.12709::m.12709	321.7	448	https://v10-1.orthodb.org/?query=3515at33682	Tetratricopeptide-like helical domain superfamily
3545at33682	Complete	Gene.10360::NODE_4010::g.10360::m.10360	823.2	657	https://v10-1.orthodb.org/?query=3545at33682	Translation initiation factor IF- 2
3601at33682	Complete	Gene.23373::NODE_10775::g.23373::m.23373	214.0	332	https://v10-1.orthodb.org/?query=3601at33682	NEDD8-activating enzyme E1 regulatory subunit
3625at33682	Duplicated	Gene.18072::NODE_7872::g.18072::m.18072	457.6	416	https://v10-1.orthodb.org/?query=3625at33682	Ubiquitin-activating enzyme
3625at33682	Duplicated	Gene.18711::NODE_8214::g.18711::m.18711	454.2	416	https://v10-1.orthodb.org/?query=3625at33682	Ubiquitin-activating enzyme
3647at33682	Complete	Gene.19308::NODE_8538::g.19308::m.19308	448.0	509	https://v10-1.orthodb.org/?query=3647at33682	P-loop containing nucleoside triphosphate hydrolase
3696at33682	Missing
3706at33682	Duplicated	Gene.17258::NODE_7450::g.17258::m.17258	811.1	611	https://v10-1.orthodb.org/?query=3706at33682	Arginyl tRNA synthetase N-terminal domain
3706at33682	Duplicated	Gene.17640::NODE_7652::g.17640::m.17640	788.8	593	https://v10-1.orthodb.org/?query=3706at33682	Arginyl tRNA synthetase N-terminal domain
3765at33682	Missing
3852at33682	Fragmented	Gene.10598::NODE_4122::g.10598::m.10598	479.9	478	https://v10-1.orthodb.org/?query=3852at33682	Zinc-binding phosphatase, putative
3905at33682	Complete	Gene.24910::NODE_11661::g.24910::m.24910	333.2	403	https://v10-1.orthodb.org/?query=3905at33682	DEAD/DEAH box helicase domain
4007at33682	Complete	Gene.21536::NODE_9743::g.21536::m.21536	407.0	446	https://v10-1.orthodb.org/?query=4007at33682	Pentatricopeptide repeat
4136at33682	Complete	Gene.14693::NODE_6146::g.14693::m.14693	658.0	555	https://v10-1.orthodb.org/?query=4136at33682	CCAAT-binding factor
4199at33682	Missing
4250at33682	Complete	Gene.20963::NODE_9428::g.20963::m.20963	189.5	265	https://v10-1.orthodb.org/?query=4250at33682	DNA repair metallo-beta-lactamase
