# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Complete	Gene.1006::NODE_258::g.1006::m.1006	1198.1	1254	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Complete	Gene.420::NODE_101::g.420::m.420	2179.2	1613	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Duplicated	Gene.799::NODE_203::g.799::m.799	2493.5	1488	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
206at33682	Duplicated	Gene.809::NODE_207::g.809::m.809	2493.5	1488	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Complete	Gene.2719::NODE_772::g.2719::m.2719	362.4	680	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Fragmented	Gene.6669::NODE_2205::g.6669::m.6669	504.8	668	https://v10-1.orthodb.org/?query=395at33682	Type II pantothenate kinase
408at33682	Complete	Gene.714::NODE_183::g.714::m.714	608.1	1191	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Complete	Gene.1242::NODE_326::g.1242::m.1242	1055.2	1190	https://v10-1.orthodb.org/?query=442at33682	Immunoglobulin-like fold
454at33682	Complete	Gene.2064::NODE_560::g.2064::m.2064	635.5	962	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
467at33682	Missing
608at33682	Duplicated	Gene.3203::NODE_941::g.3203::m.3203	1025.6	966	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
608at33682	Duplicated	Gene.3202::NODE_940::g.3202::m.3202	1025.6	966	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Complete	Gene.2360::NODE_660::g.2360::m.2360	1059.2	922	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
884at33682	Missing
965at33682	Complete	Gene.4028::NODE_1220::g.4028::m.4028	1127.5	1020	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
1175at33682	Complete	Gene.4668::NODE_1455::g.4668::m.4668	1140.5	1059	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Complete	Gene.7907::NODE_2674::g.7907::m.7907	743.2	763	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Complete	Gene.11414::NODE_4144::g.11414::m.11414	402.0	587	https://v10-1.orthodb.org/?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Complete	Gene.5720::NODE_1841::g.5720::m.5720	590.1	772	https://v10-1.orthodb.org/?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	Gene.8041::NODE_2734::g.8041::m.8041	202.2	436	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	Gene.10604::NODE_3789::g.10604::m.10604	985.2	782	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1732at33682	Duplicated	Gene.10077::NODE_3568::g.10077::m.10077	639.5	691	https://v10-1.orthodb.org/?query=1732at33682	WD40 repeat
1732at33682	Duplicated	Gene.10053::NODE_3556::g.10053::m.10053	639.5	691	https://v10-1.orthodb.org/?query=1732at33682	WD40 repeat
1814at33682	Fragmented	Gene.23591::NODE_10385::g.23591::m.23591	107.6	135	https://v10-1.orthodb.org/?query=1814at33682	Acyl-CoA binding protein, putative
1820at33682	Missing
1881at33682	Complete	Gene.13323::NODE_5002::g.13323::m.13323	836.6	689	https://v10-1.orthodb.org/?query=1881at33682	Tetratricopeptide-like helical domain superfamily
1904at33682	Complete	Gene.7886::NODE_2666::g.7886::m.7886	945.2	807	https://v10-1.orthodb.org/?query=1904at33682	26S Proteasome non-ATPase regulatory subunit 1
1927at33682	Complete	Gene.9222::NODE_3215::g.9222::m.9222	556.7	601	https://v10-1.orthodb.org/?query=1927at33682	Peroxisome biogenesis factor 1
2035at33682	Complete	Gene.7796::NODE_2633::g.7796::m.7796	919.1	807	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2058at33682	Missing
2142at33682	Complete	Gene.5425::NODE_1731::g.5425::m.5425	598.1	917	https://v10-1.orthodb.org/?query=2142at33682	SMCs flexible hinge
2207at33682	Missing
2282at33682	Complete	Gene.11255::NODE_4069::g.11255::m.11255	547.7	716	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2363at33682	Complete	Gene.18628::NODE_7661::g.18628::m.18628	290.9	465	https://v10-1.orthodb.org/?query=2363at33682	Ubiquitin specific protease, conserved site
2770at33682	Complete	Gene.13211::NODE_4950::g.13211::m.13211	398.9	601	https://v10-1.orthodb.org/?query=2770at33682	Gamma tubulin complex component, C-terminal
2874at33682	Complete	Gene.4728::NODE_1478::g.4728::m.4728	267.7	474	https://v10-1.orthodb.org/?query=2874at33682	Peptidase S59, nucleoporin
