file	C	S	D	F	M	n	species	group
short_summary.specific.euglenozoa_odb10.10D_ORIGINAL_REF_contigs.fasta_EUGL.txt	84	58	26	8	38	130	10D	Bodonids
short_summary.specific.euglenozoa_odb10.13G_ORIGINAL_REF_contigs.fasta_EUGL.txt	80	46	34	12	38	130	13G	Bodonids
short_summary.specific.euglenozoa_odb10.16Ckin_ORIGINAL_REF_contigs.fasta_EUGL.txt	99	81	18	5	26	130	16Ckin	Bodonids
short_summary.specific.euglenozoa_odb10.Acrasis_kona_ORIGINAL_denovo_contigs.fasta_EUGL.txt	26	21	5	8	96	130	Acrasis_kona	Other
short_summary.specific.euglenozoa_odb10.Acrasis_kona_ORIGINAL_REF_contigs.fasta_EUGL.txt	30	25	5	9	91	130	Acrasis_kona	Other
short_summary.specific.euglenozoa_odb10.Angomonas_deanei_ORIGINAL_REF_contigs.fasta_EUGL.txt	99	99	0	20	11	130	Angomonas_deanei	Trypanosomatids
short_summary.specific.euglenozoa_odb10.Apiculatamorpha_spiralis_ORIGINAL_REF_contigs.fasta_EUGL.txt	78	60	18	10	42	130	Apiculatamorpha_spiralis	Trypanosomatids
short_summary.specific.euglenozoa_odb10.Azumiobodo_hoyamushi_ORIGINAL_REF_contigs.fasta_EUGL.txt	65	58	7	7	58	130	Azumiobodo_hoyamushi	Bodonids
short_summary.specific.euglenozoa_odb10.BABKIN_ORIGINAL_REF_contigs.fasta_EUGL.txt	84	70	14	15	31	130	BABKIN	Bodonids
short_summary.specific.euglenozoa_odb10.Blechomonas_ayalai_ORIGINAL_REF_contigs.fasta_EUGL.txt	129	129	0	1	0	130	Blechomonas_ayalai	Trypanosomatids
short_summary.specific.euglenozoa_odb10.Bodo_saltans_ORIGINAL_denovo_contigs.fasta_EUGL.txt	122	96	26	5	3	130	Bodo_saltans	Bodonids
short_summary.specific.euglenozoa_odb10.Bodo_saltans_ORIGINAL_REF_contigs.fasta_EUGL.txt	107	104	3	14	9	130	Bodo_saltans	Bodonids
short_summary.specific.euglenozoa_odb10.Capsaspora_owczarzaki_ORIGINAL_denovo_contigs.fasta_EUGL.txt	34	31	3	6	90	130	Capsaspora_owczarzaki	Other
short_summary.specific.euglenozoa_odb10.Capsaspora_owczarzaki_ORIGINAL_REF_contigs.fasta_EUGL.txt	35	35	0	8	87	130	Capsaspora_owczarzaki	Other
short_summary.specific.euglenozoa_odb10.Chlamydomonas_reinhardtii_ORIGINAL_REF_contigs.fasta_EUGL.txt	31	25	6	10	89	130	Chlamydomonas_reinhardtii	Other
short_summary.specific.euglenozoa_odb10.Crithidia_fasciculata_ORIGINAL_REF_contigs.fasta_EUGL.txt	127	127	0	3	0	130	Crithidia_fasciculata	Trypanosomatids
short_summary.specific.euglenozoa_odb10.Cruzella_marina_ORIGINAL_REF_contigs.fasta_EUGL.txt	87	47	40	8	35	130	Cruzella_marina	Bodonids
short_summary.specific.euglenozoa_odb10.Cryptobia_borreli_ORIGINAL_REF_contigs.fasta_EUGL.txt	57	53	4	18	55	130	Cryptobia_borreli	Bodonids
short_summary.specific.euglenozoa_odb10.D44_ORIGINAL_REF_contigs.fasta_EUGL.txt	86	68	18	8	36	130	D44	Bodonids
short_summary.specific.euglenozoa_odb10.Diplonema_papillatum_ORIGINAL_denovo_contigs.fasta_EUGL.txt	34	28	6	9	87	130	Diplonema_papillatum	Euglenozoa_Other
short_summary.specific.euglenozoa_odb10.Diplonema_papillatum_ORIGINAL_REF_contigs.fasta_EUGL.txt	45	41	4	11	74	130	Diplonema_papillatum	Euglenozoa_Other
short_summary.specific.euglenozoa_odb10.Emiliania_huxleyi_ORIGINAL_denovo_contigs.fasta_EUGL.txt	14	12	2	6	110	130	Emiliania_huxleyi	Other
short_summary.specific.euglenozoa_odb10.Emiliania_huxleyi_ORIGINAL_REF_contigs.fasta_EUGL.txt	26	16	10	7	97	130	Emiliania_huxleyi	Other
