file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
10D_ORIGINAL_NON_comp.fasta	FASTA	Protein	52841	26365967	86	499	7815
13G_ORIGINAL_NON_comp.fasta	FASTA	Protein	46854	24234909	85	517.2	6519
16Ckin_ORIGINAL_NON_comp.fasta	FASTA	Protein	29348	15352956	86	523.1	5788
Acrasis_kona_ORIGINAL_denovo.fasta	FASTA	Protein	15252	5196794	87	340.7	1538
Acrasis_kona_ORIGINAL_REF_comp.fasta	FASTA	Protein	15868	6073041	45	382.7	4384
Angomonas_deanei_ORIGINAL_NON_comp.fasta	FASTA	Protein	10365	4280187	51	412.9	4916
Apiculatamorpha_spiralis_ORIGINAL_NON_comp.fasta	FASTA	Protein	59484	22615892	99	380.2	13490
Azumiobodo_hoyamushi_ORIGINAL_NON_comp.fasta	FASTA	Protein	18087	6666667	86	368.6	10039
BABKIN_ORIGINAL_NON_comp.fasta	FASTA	Protein	32941	14645358	86	444.6	4160
Blastocrithidia_nonstop_ORIGINAL_NON_comp.fasta	FASTA	Protein	7252	4712284	51	649.8	7593
Blechomonas_ayalai_ORIGINAL_NON_comp.fasta	FASTA	Protein	8042	4422978	19	550	4984
Bodo_saltans_ORIGINAL_denovo.fasta	FASTA	Protein	18089	7374884	88	407.7	6155
Bodo_saltans_ORIGINAL_REF_comp.fasta	FASTA	Protein	17777	9338252	1	525.3	7807
Capsaspora_owczarzaki_ORIGINAL_denovo.fasta	FASTA	Protein	8497	4854960	91	571.4	3847
Capsaspora_owczarzaki_ORIGINAL_REF.fasta	FASTA	Protein	8792	5565921	48	633.1	12732
Chlamydomonas_reinhardtii_ORIGINAL_REF.fasta	FASTA	Protein	19527	14375438	54	736.2	23859
Crithidia_fasciculata_ORIGINAL_REF_comp.fasta	FASTA	Protein	9055	5381038	59	594.3	7312
Cruzella_marina_ORIGINAL_NON_comp.fasta	FASTA	Protein	47093	20778607	86	441.2	6544
Cryptobia_borreli_ORIGINAL_NON_comp.fasta	FASTA	Protein	8713	2640758	87	303.1	2143
D44_ORIGINAL_NON_comp.fasta	FASTA	Protein	30655	18719237	90	610.6	11318
Diplonema_papillatum_ORIGINAL_denovo.fasta	FASTA	Protein	38756	9705911	86	250.4	9690
Diplonema_papillatum_ORIGINAL_REF_comp.fasta	FASTA	Protein	39107	22486931	15	575	21411
Emiliania_huxleyi_ORIGINAL_denovo.fasta	FASTA	Protein	16712	3779948	86	226.2	2743
Emiliania_huxleyi_ORIGINAL_REF.fasta	FASTA	Protein	38554	13220558	34	342.9	21165
Endotrypanum_monterogeii_ORIGINAL_REF_comp.fasta	FASTA	Protein	8285	4806213	59	580.1	6793
Euglena_gracilis_ORIGINAL_NON_comp.fasta	FASTA	Protein	36526	12655170	98	346.5	8406
G65133_ORIGINAL_NON_comp.fasta	FASTA	Protein	49468	13955846	85	282.1	5321
Gemkin_ORIGINAL_NON_comp.fasta	FASTA	Protein	14067	8595167	85	611	11750
INUKIN_ORIGINAL_NON_comp.fasta	FASTA	Protein	23390	11387134	85	486.8	4616
KUCKIN_ORIGINAL_NON_comp.fasta	FASTA	Protein	34849	7520081	86	215.8	2045
Leishmania_infantum_ORIGINAL_denovo.fasta	FASTA	Protein	4181	3312972	99	792.4	7010
Leishmania_infantum_ORIGINAL_REF_comp.fasta	FASTA	Protein	8527	5263968	26	617.3	6803
Leishmania_major_ORIGINAL_denovo.fasta	FASTA	Protein	8859	5249548	99	592.6	6768
Leishmania_major_ORIGINAL_REF_comp.fasta	FASTA	Protein	8424	5394571	31	640.4	17392
Leishmania_orientalis_ORIGINAL_NON_comp.fasta	FASTA	Protein	8158	5126220	50	628.4	11702
Leptomonas_pyrrhocoris_ORIGINAL_denovo.fasta	FASTA	Protein	12412	5335942	86	429.9	6583
Leptomonas_pyrrhocoris_ORIGINAL_REF_comp.fasta	FASTA	Protein	9878	5907981	34	598.1	7638
Leptomonas_seymouri_ORIGINAL_denovo.fasta	FASTA	Protein	17130	9276536	96	541.5	5486
Leptomonas_seymouri_ORIGINAL_REF_comp.fasta	FASTA	Protein	8488	5298531	62	624.2	7575
Monocercomonoides_exilis_ORIGINAL_denovo.fasta	FASTA	Protein	28864	12534397	89	434.3	7281
Monocercomonoides_exilis_ORIGINAL_REF.fasta	FASTA	Protein	18146	14124126	25	778.4	15719
Naegleria_fowleri_ORIGINAL_denovo.fasta	FASTA	Protein	16741	7194439	88	429.7	4965
Naegleria_fowleri_ORIGINAL_REF_comp.fasta	FASTA	Protein	13773	7312343	66	530.9	5561
Neobodo_designis_ORIGINAL_NON_comp.fasta	FASTA	Protein	18253	6476300	85	354.8	4298
Novymonas_esmeraldas_ORIGINAL_REF_comp.fasta	FASTA	Protein	8397	5054456	66	601.9	6803
OB23_ORIGINAL_NON_comp.fasta	FASTA	Protein	33198	19911322	88	599.8	7727
Ophirina_chinija_ORIGINAL_NON_comp.fasta	FASTA	Protein	43617	11380812	99	260.9	6348
Papus_ankaliazontas_ORIGINAL_NON_comp.fasta	FASTA	Protein	40187	18305031	99	455.5	10294
Paratrypanosoma_confusum_ORIGINAL_NON_comp.fasta	FASTA	Protein	8659	5317698	86	614.1	7464
Perkinsela_spCCAP_1560_ORIGINAL_NON_comp.fasta	FASTA	Protein	5252	1863968	38	354.9	4342
Pharyngomonas_kirbyi_ORIGINAL_NON_comp.fasta	FASTA	Protein	15007	5502023	100	366.6	8199
Phytomonas_sp._EM1_ORIGINAL_NON_comp.fasta	FASTA	Protein	6381	3127577	19	490.1	6664
Phytomonas_sp._Hart1_ORIGINAL_NON_comp.fasta	FASTA	Protein	6451	2939719	20	455.7	6650
Porcisia_hertigi_ORIGINAL_REF_comp.fasta	FASTA	Protein	7891	4892840	51	620.1	13909
Rhabdomonas_costata_ORIGINAL_NON_comp.fasta	FASTA	Protein	39456	10222536	99	259.1	5970
RhMon_ORIGINAL_NON_comp.fasta	FASTA	Protein	44731	16914522	87	378.1	5637
Rhynchopus_humris_ORIGINAL_NON_comp.fasta	FASTA	Protein	52227	21631146	99	414.2	10027
Saccharomyces_cerevisiae_ORIGINAL_denovo.fasta	FASTA	Protein	3589	1953145	99	544.2	4911
Saccharomyces_cerevisiae_ORIGINAL_REF.fasta	FASTA	Protein	6002	2925212	16	487.4	4910
Strigomonas_culicis_ORIGINAL_NON_comp.fasta	FASTA	Protein	12083	4560577	47	377.4	4543
Sulcionema_specki_ORIGINAL_NON_comp.fasta	FASTA	Protein	40309	14237621	99	353.2	12829
Trichomonas_vaginalis_ORIGINAL_denovo.fasta	FASTA	Protein	38689	13309618	88	344	8903
Trichomonas_vaginalis_ORIGINAL_REF.fasta	FASTA	Protein	72290	20796733	29	287.7	9136
