OG,len,i,sp
OG0003789,500,Gene.19754__NODE_10000__g.19754__m.19754,10D
OG0003790,780,Gene.19772__NODE_10013__g.19772__m.19772,10D
OG0002841,771,Gene.19864__NODE_10062__g.19864__m.19864,10D
OG0002487,757,Gene.19893__NODE_10080__g.19893__m.19893,10D
OG0003275,447,Gene.19897__NODE_10084__g.19897__m.19897,10D
OG0002488,694,Gene.19948__NODE_10116__g.19948__m.19948,10D
OG0003279,610,Gene.20019__NODE_10163__g.20019__m.20019,10D
OG0002490,773,Gene.20032__NODE_10174__g.20032__m.20032,10D
OG0003280,746,Gene.20145__NODE_10243__g.20145__m.20145,10D
OG0002843,560,Gene.20155__NODE_10251__g.20155__m.20155,10D
OG0002844,711,Gene.20270__NODE_10328__g.20270__m.20270,10D
OG0002845,743,Gene.20358__NODE_10385__g.20358__m.20358,10D
OG0003281,770,Gene.20394__NODE_10408__g.20394__m.20394,10D
OG0003793,730,Gene.20407__NODE_10415__g.20407__m.20407,10D
OG0002494,681,Gene.20469__NODE_10453__g.20469__m.20469,10D
OG0003794,715,Gene.20560__NODE_10511__g.20560__m.20560,10D
OG0002846,727,Gene.20652__NODE_10569__g.20652__m.20652,10D
OG0003283,704,Gene.20654__NODE_10571__g.20654__m.20654,10D
OG0002848,697,Gene.20775__NODE_10641__g.20775__m.20775,10D
OG0003284,205,Gene.20861__NODE_10697__g.20861__m.20861,10D
OG0003796,758,Gene.20891__NODE_10714__g.20891__m.20891,10D
OG0002849,768,Gene.21002__NODE_10783__g.21002__m.21002,10D
OG0003286,737,Gene.21015__NODE_10792__g.21015__m.21015,10D
OG0002851,772,Gene.21081__NODE_10829__g.21081__m.21081,10D
OG0002852,745,Gene.21202__NODE_10909__g.21202__m.21202,10D
OG0002498,710,Gene.21208__NODE_10913__g.21208__m.21208,10D
OG0002853,1322,Gene.3255__NODE_1100__g.3255__m.3255,10D
OG0002499,750,Gene.21360__NODE_11007__g.21360__m.21360,10D
OG0003289,662,Gene.21361__NODE_11008__g.21361__m.21361,10D
OG0002500,623,Gene.21368__NODE_11013__g.21368__m.21368,10D
OG0003800,681,Gene.21416__NODE_11042__g.21416__m.21416,10D
OG0002854,765,Gene.21456__NODE_11067__g.21456__m.21456,10D
OG0003802,722,Gene.21497__NODE_11094__g.21497__m.21497,10D
OG0003290,741,Gene.21533__NODE_11117__g.21533__m.21533,10D
OG0002502,652,Gene.21555__NODE_11131__g.21555__m.21555,10D
OG0002503,740,Gene.21642__NODE_11186__g.21642__m.21642,10D
OG0002506,740,Gene.21788__NODE_11281__g.21788__m.21788,10D
OG0002508,689,Gene.21825__NODE_11302__g.21825__m.21825,10D
OG0003806,730,Gene.21846__NODE_11317__g.21846__m.21846,10D
OG0003807,667,Gene.21932__NODE_11374__g.21932__m.21932,10D
OG0003808,678,Gene.21935__NODE_11377__g.21935__m.21935,10D
OG0003292,718,Gene.21990__NODE_11409__g.21990__m.21990,10D
OG0002855,667,Gene.22101__NODE_11478__g.22101__m.22101,10D
OG0002857,718,Gene.22151__NODE_11511__g.22151__m.22151,10D
OG0003293,680,Gene.22153__NODE_11512__g.22153__m.22153,10D
OG0003809,702,Gene.22260__NODE_11580__g.22260__m.22260,10D
OG0003810,708,Gene.22286__NODE_11599__g.22286__m.22286,10D
OG0002512,672,Gene.22299__NODE_11606__g.22299__m.22299,10D
OG0003811,721,Gene.22340__NODE_11626__g.22340__m.22340,10D
OG0002513,734,Gene.22413__NODE_11670__g.22413__m.22413,10D
OG0003294,729,Gene.22428__NODE_11681__g.22428__m.22428,10D
OG0002858,707,Gene.22432__NODE_11684__g.22432__m.22432,10D
OG0003295,687,Gene.22601__NODE_11790__g.22601__m.22601,10D
OG0002859,659,Gene.22643__NODE_11815__g.22643__m.22643,10D
OG0002515,729,Gene.22653__NODE_11820__g.22653__m.22653,10D
OG0002516,687,Gene.22698__NODE_11852__g.22698__m.22698,10D
OG0002860,680,Gene.22700__NODE_11853__g.22700__m.22700,10D
OG0002861,721,Gene.22717__NODE_11867__g.22717__m.22717,10D
OG0002862,682,Gene.22822__NODE_11932__g.22822__m.22822,10D
OG0003814,676,Gene.22829__NODE_11936__g.22829__m.22829,10D
OG0003298,694,Gene.22878__NODE_11971__g.22878__m.22878,10D
OG0003299,634,Gene.22924__NODE_11999__g.22924__m.22924,10D
OG0003815,725,Gene.22943__NODE_12013__g.22943__m.22943,10D
OG0002517,515,Gene.22952__NODE_12018__g.22952__m.22952,10D
OG0002518,575,Gene.23027__NODE_12065__g.23027__m.23027,10D
OG0003817,669,Gene.23107__NODE_12111__g.23107__m.23107,10D
OG0002519,643,Gene.23158__NODE_12141__g.23158__m.23158,10D
OG0003300,683,Gene.23191__NODE_12158__g.23191__m.23191,10D
OG0002520,639,Gene.23210__NODE_12172__g.23210__m.23210,10D
OG0002522,725,Gene.23291__NODE_12226__g.23291__m.23291,10D
OG0003819,609,Gene.23353__NODE_12263__g.23353__m.23353,10D
OG0003302,666,Gene.23517__NODE_12372__g.23517__m.23517,10D
OG0003303,714,Gene.23537__NODE_12385__g.23537__m.23537,10D
OG0003304,659,Gene.23566__NODE_12403__g.23566__m.23566,10D
OG0002523,615,Gene.23680__NODE_12474__g.23680__m.23680,10D
OG0003305,687,Gene.23685__NODE_12478__g.23685__m.23685,10D
OG0002524,693,Gene.23765__NODE_12529__g.23765__m.23765,10D
OG0003822,715,Gene.23862__NODE_12587__g.23862__m.23862,10D
OG0002870,623,Gene.23902__NODE_12613__g.23902__m.23902,10D
OG0003824,666,Gene.23971__NODE_12655__g.23971__m.23971,10D
OG0003825,643,Gene.24031__NODE_12694__g.24031__m.24031,10D
OG0002871,716,Gene.24069__NODE_12717__g.24069__m.24069,10D
OG0003826,602,Gene.24094__NODE_12735__g.24094__m.24094,10D
OG0003309,549,Gene.24120__NODE_12754__g.24120__m.24120,10D
OG0003827,679,Gene.24217__NODE_12815__g.24217__m.24217,10D
OG0003310,659,Gene.24260__NODE_12843__g.24260__m.24260,10D
OG0002872,704,Gene.24281__NODE_12854__g.24281__m.24281,10D
OG0002526,668,Gene.24284__NODE_12857__g.24284__m.24284,10D
OG0003311,1580,Gene.3678__NODE_1286__g.3678__m.3678,10D
OG0002527,650,Gene.24306__NODE_12870__g.24306__m.24306,10D
OG0002528,696,Gene.24342__NODE_12890__g.24342__m.24342,10D
OG0002875,652,Gene.24428__NODE_12938__g.24428__m.24428,10D
OG0002529,654,Gene.24504__NODE_12984__g.24504__m.24504,10D
OG0003312,603,Gene.24559__NODE_13019__g.24559__m.24559,10D
OG0003313,318,Gene.24599__NODE_13045__g.24599__m.24599,10D
OG0003314,683,Gene.24656__NODE_13079__g.24656__m.24656,10D
OG0002876,593,Gene.24687__NODE_13100__g.24687__m.24687,10D
OG0003316,659,Gene.24704__NODE_13110__g.24704__m.24704,10D
OG0002877,689,Gene.24796__NODE_13162__g.24796__m.24796,10D
OG0002530,567,Gene.24842__NODE_13188__g.24842__m.24842,10D
OG0003829,660,Gene.24894__NODE_13221__g.24894__m.24894,10D
OG0002531,651,Gene.24896__NODE_13223__g.24896__m.24896,10D
OG0002879,704,Gene.24905__NODE_13229__g.24905__m.24905,10D
OG0002532,694,Gene.24946__NODE_13254__g.24946__m.24946,10D
OG0003317,641,Gene.24978__NODE_13273__g.24978__m.24978,10D
OG0003318,595,Gene.25016__NODE_13298__g.25016__m.25016,10D
OG0002533,700,Gene.25036__NODE_13313__g.25036__m.25036,10D
OG0003831,650,Gene.25119__NODE_13367__g.25119__m.25119,10D
OG0002534,700,Gene.25131__NODE_13377__g.25131__m.25131,10D
OG0002535,688,Gene.25197__NODE_13419__g.25197__m.25197,10D
OG0003832,645,Gene.25340__NODE_13516__g.25340__m.25340,10D
OG0003320,633,Gene.25435__NODE_13576__g.25435__m.25435,10D
OG0002538,363,Gene.25449__NODE_13588__g.25449__m.25449,10D
OG0002885,625,Gene.25450__NODE_13589__g.25450__m.25450,10D
OG0003321,624,Gene.25536__NODE_13644__g.25536__m.25536,10D
OG0002886,1593,Gene.3857__NODE_1365__g.3857__m.3857,10D
OG0002539,608,Gene.25573__NODE_13662__g.25573__m.25573,10D
OG0002887,621,Gene.25578__NODE_13666__g.25578__m.25578,10D
OG0002540,684,Gene.25615__NODE_13694__g.25615__m.25615,10D
OG0002541,666,Gene.25761__NODE_13781__g.25761__m.25761,10D
OG0002890,650,Gene.25821__NODE_13821__g.25821__m.25821,10D
OG0003834,634,Gene.25882__NODE_13852__g.25882__m.25882,10D
OG0002891,616,Gene.25902__NODE_13864__g.25902__m.25902,10D
OG0003835,652,Gene.25941__NODE_13891__g.25941__m.25941,10D
OG0002542,652,Gene.25967__NODE_13908__g.25967__m.25967,10D
OG0002892,631,Gene.26030__NODE_13950__g.26030__m.26030,10D
OG0003323,633,Gene.26055__NODE_13969__g.26055__m.26055,10D
OG0003324,655,Gene.26097__NODE_13994__g.26097__m.26097,10D
OG0002543,627,Gene.26103__NODE_13999__g.26103__m.26103,10D
OG0003283,244,Gene.26117__NODE_14007__g.26117__m.26117,10D
OG0002893,633,Gene.26153__NODE_14028__g.26153__m.26153,10D
OG0003837,563,Gene.26181__NODE_14046__g.26181__m.26181,10D
OG0002894,657,Gene.26233__NODE_14085__g.26233__m.26233,10D
OG0003325,579,Gene.26348__NODE_14159__g.26348__m.26348,10D
OG0003326,512,Gene.26375__NODE_14178__g.26375__m.26375,10D
OG0002895,637,Gene.26391__NODE_14189__g.26391__m.26391,10D
OG0002896,1554,Gene.3990__NODE_1419__g.3990__m.3990,10D
OG0002897,600,Gene.26417__NODE_14207__g.26417__m.26417,10D
OG0002898,622,Gene.26422__NODE_14211__g.26422__m.26422,10D
OG0002899,608,Gene.26507__NODE_14263__g.26507__m.26507,10D
OG0003839,1385,Gene.4006__NODE_1429__g.4006__m.4006,10D
OG0003328,645,Gene.26565__NODE_14298__g.26565__m.26565,10D
OG0002547,607,Gene.26608__NODE_14323__g.26608__m.26608,10D
OG0002900,539,Gene.26661__NODE_14359__g.26661__m.26661,10D
OG0003329,662,Gene.26671__NODE_14366__g.26671__m.26671,10D
OG0003330,630,Gene.26718__NODE_14399__g.26718__m.26718,10D
OG0002548,635,Gene.26776__NODE_14435__g.26776__m.26776,10D
OG0002549,642,Gene.26821__NODE_14464__g.26821__m.26821,10D
OG0002550,514,Gene.26919__NODE_14526__g.26919__m.26919,10D
OG0002551,607,Gene.27034__NODE_14598__g.27034__m.27034,10D
OG0003332,618,Gene.27045__NODE_14605__g.27045__m.27045,10D
OG0003333,596,Gene.27112__NODE_14649__g.27112__m.27112,10D
OG0002903,655,Gene.27198__NODE_14702__g.27198__m.27198,10D
OG0002552,624,Gene.27207__NODE_14706__g.27207__m.27207,10D
OG0002553,599,Gene.27210__NODE_14709__g.27210__m.27210,10D
OG0003334,588,Gene.27226__NODE_14720__g.27226__m.27226,10D
OG0002554,592,Gene.27229__NODE_14722__g.27229__m.27229,10D
OG0003335,649,Gene.27269__NODE_14750__g.27269__m.27269,10D
OG0002904,570,Gene.27295__NODE_14764__g.27295__m.27295,10D
OG0003840,587,Gene.27322__NODE_14782__g.27322__m.27322,10D
OG0002905,573,Gene.27386__NODE_14824__g.27386__m.27386,10D
OG0003336,539,Gene.27409__NODE_14842__g.27409__m.27409,10D
OG0003844,649,Gene.27563__NODE_14944__g.27563__m.27563,10D
OG0002555,609,Gene.27584__NODE_14960__g.27584__m.27584,10D
OG0002906,600,Gene.27676__NODE_15025__g.27676__m.27676,10D
OG0002556,625,Gene.27693__NODE_15034__g.27693__m.27693,10D
OG0003845,637,Gene.27713__NODE_15047__g.27713__m.27713,10D
OG0002557,615,Gene.27721__NODE_15052__g.27721__m.27721,10D
OG0003338,569,Gene.27728__NODE_15057__g.27728__m.27728,10D
OG0002907,638,Gene.27848__NODE_15137__g.27848__m.27848,10D
OG0002506,651,Gene.27877__NODE_15154__g.27877__m.27877,10D
OG0002558,609,Gene.27898__NODE_15168__g.27898__m.27898,10D
OG0002908,652,Gene.27911__NODE_15178__g.27911__m.27911,10D
OG0002910,621,Gene.27974__NODE_15217__g.27974__m.27974,10D
OG0002912,600,Gene.28005__NODE_15241__g.28005__m.28005,10D
OG0002913,538,Gene.28022__NODE_15252__g.28022__m.28022,10D
OG0002915,545,Gene.28074__NODE_15283__g.28074__m.28074,10D
OG0002559,649,Gene.28104__NODE_15300__g.28104__m.28104,10D
OG0003339,557,Gene.28253__NODE_15403__g.28253__m.28253,10D
OG0003340,1034,Gene.4259__NODE_1541__g.4259__m.4259,10D
OG0002560,578,Gene.28302__NODE_15437__g.28302__m.28302,10D
OG0003341,622,Gene.28387__NODE_15493__g.28387__m.28387,10D
OG0003342,568,Gene.28412__NODE_15510__g.28412__m.28412,10D
OG0002916,414,Gene.28560__NODE_15608__g.28560__m.28560,10D
OG0002917,614,Gene.28580__NODE_15623__g.28580__m.28580,10D
OG0003846,569,Gene.28604__NODE_15639__g.28604__m.28604,10D
OG0003343,619,Gene.28653__NODE_15675__g.28653__m.28653,10D
OG0003847,542,Gene.28661__NODE_15682__g.28661__m.28661,10D
OG0002561,615,Gene.28667__NODE_15688__g.28667__m.28667,10D
OG0003345,614,Gene.28709__NODE_15717__g.28709__m.28709,10D
OG0003848,612,Gene.28777__NODE_15764__g.28777__m.28777,10D
OG0003849,629,Gene.28813__NODE_15791__g.28813__m.28813,10D
OG0002563,571,Gene.28875__NODE_15834__g.28875__m.28875,10D
OG0002564,626,Gene.28891__NODE_15843__g.28891__m.28891,10D
OG0002918,627,Gene.28898__NODE_15849__g.28898__m.28898,10D
OG0003346,581,Gene.28921__NODE_15868__g.28921__m.28921,10D
OG0002565,551,Gene.29039__NODE_15942__g.29039__m.29039,10D
OG0003850,604,Gene.29113__NODE_15996__g.29113__m.29113,10D
OG0002920,623,Gene.29134__NODE_16009__g.29134__m.29134,10D
