# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Complete	Gene.5150::NODE_1254::g.5150::m.5150	1132.6	1239	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Complete	Gene.2807::NODE_599::g.2807::m.2807	2235.5	1644	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Complete	Gene.909::NODE_157::g.909::m.909	2594.6	1591	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Complete	Gene.7476::NODE_1978::g.7476::m.7476	277.8	806	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Complete	Gene.4688::NODE_1113::g.4688::m.4688	700.9	1016	https://v10-1.orthodb.org/?query=395at33682	Type II pantothenate kinase
408at33682	Complete	Gene.4657::NODE_1102::g.4657::m.4657	539.6	1366	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Complete	Gene.4600::NODE_1085::g.4600::m.4600	1066.6	1179	https://v10-1.orthodb.org/?query=442at33682	Immunoglobulin-like fold
454at33682	Complete	Gene.7546::NODE_1998::g.7546::m.7546	655.0	1040	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
467at33682	Missing
608at33682	Complete	Gene.7848::NODE_2088::g.7848::m.7848	1013.4	1023	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Complete	Gene.5933::NODE_1497::g.5933::m.5933	1070.3	941	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
884at33682	Missing
965at33682	Complete	Gene.9835::NODE_2799::g.9835::m.9835	1180.1	1020	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
1175at33682	Complete	Gene.9272::NODE_2599::g.9272::m.9272	1182.0	1075	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Complete	Gene.14178::NODE_4456::g.14178::m.14178	752.9	752	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Complete	Gene.19409::NODE_6563::g.19409::m.19409	358.7	542	https://v10-1.orthodb.org/?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Complete	Gene.12706::NODE_3878::g.12706::m.12706	509.3	764	https://v10-1.orthodb.org/?query=1439at33682	Condensin complex subunit 3
1528at33682	Complete	Gene.8978::NODE_2481::g.8978::m.8978	260.4	433	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	Gene.19687::NODE_6696::g.19687::m.19687	970.0	706	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1732at33682	Complete	Gene.17176::NODE_5631::g.17176::m.17176	633.3	696	https://v10-1.orthodb.org/?query=1732at33682	WD40 repeat
1814at33682	Fragmented	Gene.40682::NODE_17353::g.40682::m.40682	108.4	79	https://v10-1.orthodb.org/?query=1814at33682	Acyl-CoA binding protein, putative
1820at33682	Complete	Gene.20592::NODE_7108::g.20592::m.20592	723.2	696	https://v10-1.orthodb.org/?query=1820at33682	SNF2-related, N-terminal domain
1881at33682	Complete	Gene.22799::NODE_8078::g.22799::m.22799	782.6	644	https://v10-1.orthodb.org/?query=1881at33682	Tetratricopeptide-like helical domain superfamily
1904at33682	Complete	Gene.15210::NODE_4869::g.15210::m.15210	934.8	804	https://v10-1.orthodb.org/?query=1904at33682	26S Proteasome non-ATPase regulatory subunit 1
1927at33682	Complete	Gene.15007::NODE_4791::g.15007::m.15007	537.1	582	https://v10-1.orthodb.org/?query=1927at33682	Peroxisome biogenesis factor 1
2035at33682	Complete	Gene.13973::NODE_4382::g.13973::m.13973	937.3	813	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2058at33682	Missing
2142at33682	Complete	Gene.10993::NODE_3223::g.10993::m.10993	1002.5	1114	https://v10-1.orthodb.org/?query=2142at33682	SMCs flexible hinge
2207at33682	Missing
2282at33682	Complete	Gene.13601::NODE_4235::g.13601::m.13601	576.3	707	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2363at33682	Complete	Gene.23293::NODE_8303::g.23293::m.23293	245.3	453	https://v10-1.orthodb.org/?query=2363at33682	Ubiquitin specific protease, conserved site
2770at33682	Complete	Gene.22219::NODE_7832::g.22219::m.22219	415.6	603	https://v10-1.orthodb.org/?query=2770at33682	Gamma tubulin complex component, C-terminal
2874at33682	Complete	Gene.8445::NODE_2296::g.8445::m.8445	232.3	470	https://v10-1.orthodb.org/?query=2874at33682	Peptidase S59, nucleoporin
2960at33682	Complete	Gene.13032::NODE_4003::g.13032::m.13032	394.3	663	https://v10-1.orthodb.org/?query=2960at33682	Helicase, C-terminal
3056at33682	Complete	Gene.18209::NODE_6060::g.18209::m.18209	574.8	618	https://v10-1.orthodb.org/?query=3056at33682	MATH/TRAF domain
3118at33682	Missing
3306at33682	Complete	Gene.26907::NODE_10045::g.26907::m.26907	261.4	488	https://v10-1.orthodb.org/?query=3306at33682	Ubiquitin domain
3331at33682	Complete	Gene.14496::NODE_4588::g.14496::m.14496	901.0	741	https://v10-1.orthodb.org/?query=3331at33682	SNF2-related, N-terminal domain
3344at33682	Complete	Gene.21188::NODE_7378::g.21188::m.21188	773.2	535	https://v10-1.orthodb.org/?query=3344at33682	tRNA wybutosine-synthesis
3381at33682	Complete	Gene.21709::NODE_7615::g.21709::m.21709	966.3	641	https://v10-1.orthodb.org/?query=3381at33682	MCM domain
3383at33682	Complete	Gene.29555::NODE_11347::g.29555::m.29555	385.7	476	https://v10-1.orthodb.org/?query=3383at33682	Tetratricopeptide repeat
3515at33682	Complete	Gene.16281::NODE_5291::g.16281::m.16281	286.0	444	https://v10-1.orthodb.org/?query=3515at33682	Tetratricopeptide-like helical domain superfamily
3545at33682	Complete	Gene.20441::NODE_7041::g.20441::m.20441	848.7	658	https://v10-1.orthodb.org/?query=3545at33682	Translation initiation factor IF- 2
3601at33682	Complete	Gene.35968::NODE_14679::g.35968::m.35968	276.9	352	https://v10-1.orthodb.org/?query=3601at33682	NEDD8-activating enzyme E1 regulatory subunit
3625at33682	Complete	Gene.27126::NODE_10151::g.27126::m.27126	440.0	428	https://v10-1.orthodb.org/?query=3625at33682	Ubiquitin-activating enzyme
3647at33682	Complete	Gene.26611::NODE_9895::g.26611::m.26611	427.4	508	https://v10-1.orthodb.org/?query=3647at33682	P-loop containing nucleoside triphosphate hydrolase
3696at33682	Missing
3706at33682	Complete	Gene.9569::NODE_2702::g.9569::m.9569	826.0	603	https://v10-1.orthodb.org/?query=3706at33682	Arginyl tRNA synthetase N-terminal domain
3765at33682	Missing
3852at33682	Complete	Gene.18098::NODE_6012::g.18098::m.18098	510.0	540	https://v10-1.orthodb.org/?query=3852at33682	Zinc-binding phosphatase, putative
3905at33682	Duplicated	Gene.38933::NODE_16365::g.38933::m.38933	313.9	352	https://v10-1.orthodb.org/?query=3905at33682	DEAD/DEAH box helicase domain
3905at33682	Duplicated	Gene.36599::NODE_15018::g.36599::m.36599	268.3	361	https://v10-1.orthodb.org/?query=3905at33682	DEAD/DEAH box helicase domain
4007at33682	Complete	Gene.33946::NODE_13605::g.33946::m.33946	383.8	443	https://v10-1.orthodb.org/?query=4007at33682	Pentatricopeptide repeat
4136at33682	Complete	Gene.24408::NODE_8844::g.24408::m.24408	649.0	555	https://v10-1.orthodb.org/?query=4136at33682	CCAAT-binding factor
4199at33682	Complete	Gene.27165::NODE_10172::g.27165::m.27165	346.6	389	https://v10-1.orthodb.org/?query=4199at33682	Cyclin-like
4250at33682	Complete	Gene.37450::NODE_15506::g.37450::m.37450	177.5	255	https://v10-1.orthodb.org/?query=4250at33682	DNA repair metallo-beta-lactamase
4450at33682	Complete	Gene.27085::NODE_10132::g.27085::m.27085	575.7	467	https://v10-1.orthodb.org/?query=4450at33682	WD40/YVTN repeat-like-containing domain superfamily
4668at33682	Missing
4718at33682	Duplicated	Gene.28994::NODE_11050::g.28994::m.28994	356.1	435	https://v10-1.orthodb.org/?query=4718at33682	Sec1-like protein
4718at33682	Duplicated	Gene.30145::NODE_11658::g.30145::m.30145	327.8	435	https://v10-1.orthodb.org/?query=4718at33682	Sec1-like protein
4733at33682	Complete	Gene.35736::NODE_14552::g.35736::m.35736	315.5	310	https://v10-1.orthodb.org/?query=4733at33682	Pseudouridine synthase I, TruA
4838at33682	Complete	Gene.30409::NODE_11802::g.30409::m.30409	490.9	459	https://v10-1.orthodb.org/?query=4838at33682	Kinesin motor domain
4898at33682	Complete	Gene.31709::NODE_12435::g.31709::m.31709	376.9	381	https://v10-1.orthodb.org/?query=4898at33682	Phospholipid
5001at33682	Complete	Gene.21352::NODE_7453::g.21352::m.21352	855.6	564	https://v10-1.orthodb.org/?query=5001at33682	Peptidase M41
5261at33682	Complete	Gene.44120::NODE_19350::g.44120::m.44120	192.6	303	https://v10-1.orthodb.org/?query=5261at33682	Ubiquitin specific protease, conserved site
5413at33682	Complete	Gene.28522::NODE_10825::g.28522::m.28522	857.2	481	https://v10-1.orthodb.org/?query=5413at33682	GroEL-like apical domain superfamily
5598at33682	Complete	Gene.12509::NODE_3804::g.12509::m.12509	179.3	405	https://v10-1.orthodb.org/?query=5598at33682	DnaJ domain
5990at33682	Fragmented	Gene.37742::NODE_15670::g.37742::m.37742	122.0	249	https://v10-1.orthodb.org/?query=5990at33682	R3H domain
5994at33682	Missing
6050at33682	Complete	Gene.33744::NODE_13496::g.33744::m.33744	662.7	465	https://v10-1.orthodb.org/?query=6050at33682	Protein kinase domain
6408at33682	Complete	Gene.34149::NODE_13702::g.34149::m.34149	507.4	381	https://v10-1.orthodb.org/?query=6408at33682	ABC transporter-like
6527at33682	Missing
6538at33682	Missing
6660at33682	Complete	Gene.42617::NODE_18466::g.42617::m.42617	522.2	318	https://v10-1.orthodb.org/?query=6660at33682	Tubulin
6795at33682	Missing
