# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Complete	Gene.2057::NODE_619::g.2057::m.2057	1336.9	1431	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Complete	Gene.12023::NODE_4656::g.12023::m.12023	1139.4	866	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Fragmented	Gene.6423::NODE_2201::g.6423::m.6423	2121.2	1200	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Complete	Gene.4375::NODE_1419::g.4375::m.4375	469.7	987	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Complete	Gene.2506::NODE_762::g.2506::m.2506	782.1	1041	https://v10-1.orthodb.org/?query=395at33682	Type II pantothenate kinase
408at33682	Complete	Gene.2096::NODE_629::g.2096::m.2096	730.4	1239	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Missing
454at33682	Complete	Gene.3838::NODE_1224::g.3838::m.3838	750.5	1052	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
467at33682	Missing
608at33682	Complete	Gene.4997::NODE_1661::g.4997::m.4997	1071.5	1083	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Complete	Gene.4079::NODE_1306::g.4079::m.4079	1270.1	968	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
884at33682	Missing
965at33682	Complete	Gene.6257::NODE_2140::g.6257::m.6257	1344.3	999	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
1175at33682	Complete	Gene.6152::NODE_2093::g.6152::m.6152	1309.9	1051	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Complete	Gene.12510::NODE_4884::g.12510::m.12510	825.8	765	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Complete	Gene.16110::NODE_6656::g.16110::m.16110	550.4	551	https://v10-1.orthodb.org/?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Missing
1528at33682	Complete	Gene.12308::NODE_4785::g.12308::m.12308	280.8	474	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	Gene.12078::NODE_4678::g.12078::m.12078	1112.3	740	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1732at33682	Complete	Gene.12418::NODE_4839::g.12418::m.12418	743.4	740	https://v10-1.orthodb.org/?query=1732at33682	WD40 repeat
1814at33682	Duplicated	Gene.25590::NODE_12126::g.25590::m.25590	160.2	245	https://v10-1.orthodb.org/?query=1814at33682	Acyl-CoA binding protein, putative
1814at33682	Duplicated	Gene.25591::NODE_12127::g.25591::m.25591	154.3	227	https://v10-1.orthodb.org/?query=1814at33682	Acyl-CoA binding protein, putative
1820at33682	Complete	Gene.16146::NODE_6673::g.16146::m.16146	881.9	670	https://v10-1.orthodb.org/?query=1820at33682	SNF2-related, N-terminal domain
1881at33682	Complete	Gene.15495::NODE_6351::g.15495::m.15495	987.7	632	https://v10-1.orthodb.org/?query=1881at33682	Tetratricopeptide-like helical domain superfamily
1904at33682	Complete	Gene.11695::NODE_4511::g.11695::m.11695	1069.3	825	https://v10-1.orthodb.org/?query=1904at33682	26S Proteasome non-ATPase regulatory subunit 1
1927at33682	Complete	Gene.11248::NODE_4305::g.11248::m.11248	643.1	687	https://v10-1.orthodb.org/?query=1927at33682	Peroxisome biogenesis factor 1
2035at33682	Complete	Gene.12827::NODE_5046::g.12827::m.12827	1077.6	810	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2058at33682	Complete	Gene.15654::NODE_6425::g.15654::m.15654	277.2	524	https://v10-1.orthodb.org/?query=2058at33682	RNA ligase T4  Rnl1, N-terminal
2142at33682	Complete	Gene.7206::NODE_2538::g.7206::m.7206	948.9	1074	https://v10-1.orthodb.org/?query=2142at33682	SMCs flexible hinge
2207at33682	Missing
2282at33682	Complete	Gene.11193::NODE_4281::g.11193::m.11193	687.4	715	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2363at33682	Duplicated	Gene.17656::NODE_7484::g.17656::m.17656	371.9	454	https://v10-1.orthodb.org/?query=2363at33682	Ubiquitin specific protease, conserved site
