file	C	S	D	F	M	n	species	group
short_summary.specific.eukaryota_odb10.10D_ORIGINAL_REF_contigs.fasta_EUK.txt	153	120	33	25	77	255	10D	Bodonids
short_summary.specific.eukaryota_odb10.13G_ORIGINAL_REF_contigs.fasta_EUK.txt	153	100	53	25	77	255	13G	Bodonids
short_summary.specific.eukaryota_odb10.16Ckin_ORIGINAL_REF_contigs.fasta_EUK.txt	161	133	28	18	76	255	16Ckin	Bodonids
short_summary.specific.eukaryota_odb10.Acrasis_kona_ORIGINAL_denovo_contigs.fasta_EUK.txt	211	170	41	21	23	255	Acrasis_kona	Other
short_summary.specific.eukaryota_odb10.Acrasis_kona_ORIGINAL_REF_contigs.fasta_EUK.txt	216	191	25	18	21	255	Acrasis_kona	Other
short_summary.specific.eukaryota_odb10.Angomonas_deanei_ORIGINAL_REF_contigs.fasta_EUK.txt	113	111	2	33	109	255	Angomonas_deanei	Trypanosomatids
short_summary.specific.eukaryota_odb10.Apiculatamorpha_spiralis_ORIGINAL_REF_contigs.fasta_EUK.txt	166	117	49	26	63	255	Apiculatamorpha_spiralis	Trypanosomatids
short_summary.specific.eukaryota_odb10.Azumiobodo_hoyamushi_ORIGINAL_REF_contigs.fasta_EUK.txt	116	97	19	34	105	255	Azumiobodo_hoyamushi	Bodonids
short_summary.specific.eukaryota_odb10.BABKIN_ORIGINAL_REF_contigs.fasta_EUK.txt	138	107	31	27	90	255	BABKIN	Bodonids
short_summary.specific.eukaryota_odb10.Blechomonas_ayalai_ORIGINAL_REF_contigs.fasta_EUK.txt	141	137	4	23	91	255	Blechomonas_ayalai	Trypanosomatids
short_summary.specific.eukaryota_odb10.Bodo_saltans_ORIGINAL_denovo_contigs.fasta_EUK.txt	145	121	24	22	88	255	Bodo_saltans	Bodonids
short_summary.specific.eukaryota_odb10.Bodo_saltans_ORIGINAL_REF_contigs.fasta_EUK.txt	137	132	5	24	94	255	Bodo_saltans	Bodonids
short_summary.specific.eukaryota_odb10.Capsaspora_owczarzaki_ORIGINAL_denovo_contigs.fasta_EUK.txt	244	229	15	5	6	255	Capsaspora_owczarzaki	Other
short_summary.specific.eukaryota_odb10.Capsaspora_owczarzaki_ORIGINAL_REF_contigs.fasta_EUK.txt	237	235	2	7	11	255	Capsaspora_owczarzaki	Other
short_summary.specific.eukaryota_odb10.Chlamydomonas_reinhardtii_ORIGINAL_REF_contigs.fasta_EUK.txt	238	229	9	7	10	255	Chlamydomonas_reinhardtii	Other
short_summary.specific.eukaryota_odb10.Crithidia_fasciculata_ORIGINAL_REF_contigs.fasta_EUK.txt	134	130	4	22	99	255	Crithidia_fasciculata	Trypanosomatids
short_summary.specific.eukaryota_odb10.Cruzella_marina_ORIGINAL_REF_contigs.fasta_EUK.txt	145	67	78	24	86	255	Cruzella_marina	Bodonids
