# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Complete	Gene.2035::NODE_614::g.2035::m.2035	1220.9	1340	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Complete	Gene.1379::NODE_402::g.1379::m.1379	2290.4	1704	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Complete	Gene.2539::NODE_809::g.2539::m.2539	2525.4	1526	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Complete	Gene.3936::NODE_1396::g.3936::m.3936	330.1	792	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Complete	Gene.3382::NODE_1154::g.3382::m.3382	638.0	758	https://v10-1.orthodb.org/?query=395at33682	Type II pantothenate kinase
408at33682	Complete	Gene.4359::NODE_1587::g.4359::m.4359	480.7	884	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Complete	Gene.2906::NODE_964::g.2906::m.2906	1043.2	1207	https://v10-1.orthodb.org/?query=442at33682	Immunoglobulin-like fold
454at33682	Complete	Gene.2404::NODE_753::g.2404::m.2404	710.2	931	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
467at33682	Missing
608at33682	Complete	Gene.5076::NODE_1913::g.5076::m.5076	964.1	1040	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Complete	Gene.3510::NODE_1217::g.3510::m.3510	880.7	931	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
884at33682	Missing
965at33682	Complete	Gene.6374::NODE_2536::g.6374::m.6374	1162.9	1017	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
1175at33682	Complete	Gene.6609::NODE_2642::g.6609::m.6609	1178.3	1062	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Complete	Gene.37649::NODE_21910::g.37649::m.37649	332.7	391	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Missing
1439at33682	Missing
1528at33682	Complete	Gene.11109::NODE_4991::g.11109::m.11109	290.7	509	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	Gene.11223::NODE_5055::g.11223::m.11223	1019.8	727	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1732at33682	Complete	Gene.10390::NODE_4593::g.10390::m.10390	576.8	711	https://v10-1.orthodb.org/?query=1732at33682	WD40 repeat
1814at33682	Fragmented	Gene.22488::NODE_11725::g.22488::m.22488	118.5	149	https://v10-1.orthodb.org/?query=1814at33682	Acyl-CoA binding protein, putative
1820at33682	Complete	Gene.2639::NODE_853::g.2639::m.2639	696.7	620	https://v10-1.orthodb.org/?query=1820at33682	SNF2-related, N-terminal domain
