# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Complete	Gene.1435::NODE_345::g.1435::m.1435	1071.3	984	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Duplicated	Gene.1558::NODE_379::g.1558::m.1558	1233.0	1114	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
199at33682	Duplicated	Gene.1554::NODE_378::g.1554::m.1554	1233.0	1114	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Duplicated	Gene.389::NODE_53::g.389::m.389	2437.3	1616	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
206at33682	Duplicated	Gene.395::NODE_54::g.395::m.395	2437.3	1616	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Fragmented	Gene.10594::NODE_4293::g.10594::m.10594	158.1	258	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Fragmented	Gene.296::NODE_33::g.296::m.296	397.9	510	https://v10-1.orthodb.org/?query=395at33682	Type II pantothenate kinase
408at33682	Fragmented	Gene.15779::NODE_7060::g.15779::m.15779	140.5	226	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Missing
454at33682	Missing
467at33682	Missing
608at33682	Fragmented	Gene.22658::NODE_11185::g.22658::m.22658	491.2	371	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Missing
884at33682	Missing
965at33682	Duplicated	Gene.2675::NODE_763::g.2675::m.2675	1099.0	1029	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
965at33682	Duplicated	Gene.2645::NODE_751::g.2645::m.2645	1096.5	1029	https://v10-1.orthodb.org/?query=965at33682	P-type ATPase
1175at33682	Complete	Gene.5370::NODE_1839::g.5370::m.5370	746.4	852	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Complete	Gene.3327::NODE_1005::g.3327::m.3327	617.4	740	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Fragmented	Gene.6019::NODE_2110::g.6019::m.6019	214.7	212	https://v10-1.orthodb.org/?query=1408at33682	Pseudouridine synthase, TruD
1439at33682	Missing
1528at33682	Duplicated	Gene.3317::NODE_1001::g.3317::m.3317	183.7	433	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1528at33682	Duplicated	Gene.4151::NODE_1337::g.4151::m.4151	183.7	433	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Duplicated	Gene.4543::NODE_1501::g.4543::m.4543	859.6	752	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1572at33682	Duplicated	Gene.4125::NODE_1327::g.4125::m.4125	859.5	749	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1732at33682	Missing
1814at33682	Missing
1820at33682	Missing
1881at33682	Complete	Gene.8948::NODE_3492::g.8948::m.8948	891.8	625	https://v10-1.orthodb.org/?query=1881at33682	Tetratricopeptide-like helical domain superfamily
1904at33682	Duplicated	Gene.4497::NODE_1479::g.4497::m.4497	759.4	805	https://v10-1.orthodb.org/?query=1904at33682	26S Proteasome non-ATPase regulatory subunit 1
1904at33682	Duplicated	Gene.4500::NODE_1480::g.4500::m.4500	759.4	805	https://v10-1.orthodb.org/?query=1904at33682	26S Proteasome non-ATPase regulatory subunit 1
1927at33682	Duplicated	Gene.6966::NODE_2552::g.6966::m.6966	419.5	552	https://v10-1.orthodb.org/?query=1927at33682	Peroxisome biogenesis factor 1
1927at33682	Duplicated	Gene.6995::NODE_2566::g.6995::m.6995	419.5	552	https://v10-1.orthodb.org/?query=1927at33682	Peroxisome biogenesis factor 1
2035at33682	Duplicated	Gene.4200::NODE_1360::g.4200::m.4200	825.6	822	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2035at33682	Duplicated	Gene.4204::NODE_1361::g.4204::m.4204	825.6	822	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2058at33682	Missing
2142at33682	Complete	Gene.3269::NODE_983::g.3269::m.3269	806.1	1258	https://v10-1.orthodb.org/?query=2142at33682	SMCs flexible hinge
2207at33682	Missing
2282at33682	Duplicated	Gene.5473::NODE_1885::g.5473::m.5473	442.7	728	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2282at33682	Duplicated	Gene.5608::NODE_1935::g.5608::m.5608	442.7	728	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2363at33682	Complete	Gene.12629::NODE_5341::g.12629::m.12629	187.7	364	https://v10-1.orthodb.org/?query=2363at33682	Ubiquitin specific protease, conserved site
2770at33682	Missing
2874at33682	Fragmented	Gene.4308::NODE_1402::g.4308::m.4308	165.9	423	https://v10-1.orthodb.org/?query=2874at33682	Peptidase S59, nucleoporin
2960at33682	Duplicated	Gene.11735::NODE_4865::g.11735::m.11735	295.7	427	https://v10-1.orthodb.org/?query=2960at33682	Helicase, C-terminal
2960at33682	Duplicated	Gene.6314::NODE_2254::g.6314::m.6314	285.0	428	https://v10-1.orthodb.org/?query=2960at33682	Helicase, C-terminal
2960at33682	Duplicated	Gene.8232::NODE_3153::g.8232::m.8232	284.6	433	https://v10-1.orthodb.org/?query=2960at33682	Helicase, C-terminal
3056at33682	Duplicated	Gene.3322::NODE_1003::g.3322::m.3322	466.1	771	https://v10-1.orthodb.org/?query=3056at33682	MATH/TRAF domain
3056at33682	Duplicated	Gene.3350::NODE_1012::g.3350::m.3350	460.3	760	https://v10-1.orthodb.org/?query=3056at33682	MATH/TRAF domain
3118at33682	Missing
3306at33682	Missing
3331at33682	Duplicated	Gene.4411::NODE_1447::g.4411::m.4411	371.1	526	https://v10-1.orthodb.org/?query=3331at33682	SNF2-related, N-terminal domain
3331at33682	Duplicated	Gene.4416::NODE_1448::g.4416::m.4416	371.1	526	https://v10-1.orthodb.org/?query=3331at33682	SNF2-related, N-terminal domain
3344at33682	Complete	Gene.10041::NODE_4025::g.10041::m.10041	805.2	542	https://v10-1.orthodb.org/?query=3344at33682	tRNA wybutosine-synthesis
3381at33682	Complete	Gene.6797::NODE_2470::g.6797::m.6797	312.4	475	https://v10-1.orthodb.org/?query=3381at33682	MCM domain
3383at33682	Complete	Gene.7245::NODE_2684::g.7245::m.7245	457.0	447	https://v10-1.orthodb.org/?query=3383at33682	Tetratricopeptide repeat
3515at33682	Missing
3545at33682	Duplicated	Gene.6761::NODE_2452::g.6761::m.6761	798.5	723	https://v10-1.orthodb.org/?query=3545at33682	Translation initiation factor IF- 2
3545at33682	Duplicated	Gene.7081::NODE_2606::g.7081::m.7081	798.5	723	https://v10-1.orthodb.org/?query=3545at33682	Translation initiation factor IF- 2
3601at33682	Complete	Gene.14452::NODE_6314::g.14452::m.14452	209.3	327	https://v10-1.orthodb.org/?query=3601at33682	NEDD8-activating enzyme E1 regulatory subunit
3625at33682	Complete	Gene.10429::NODE_4214::g.10429::m.10429	408.9	349	https://v10-1.orthodb.org/?query=3625at33682	Ubiquitin-activating enzyme
3647at33682	Duplicated	Gene.11196::NODE_4597::g.11196::m.11196	355.5	437	https://v10-1.orthodb.org/?query=3647at33682	P-loop containing nucleoside triphosphate hydrolase
3647at33682	Duplicated	Gene.7935::NODE_3012::g.7935::m.7935	355.3	438	https://v10-1.orthodb.org/?query=3647at33682	P-loop containing nucleoside triphosphate hydrolase
3696at33682	Missing
3706at33682	Complete	Gene.11839::NODE_4920::g.11839::m.11839	746.3	603	https://v10-1.orthodb.org/?query=3706at33682	Arginyl tRNA synthetase N-terminal domain
3765at33682	Missing
3852at33682	Duplicated	Gene.15472::NODE_6887::g.15472::m.15472	472.5	500	https://v10-1.orthodb.org/?query=3852at33682	Zinc-binding phosphatase, putative
3852at33682	Duplicated	Gene.10638::NODE_4318::g.10638::m.10638	470.3	525	https://v10-1.orthodb.org/?query=3852at33682	Zinc-binding phosphatase, putative
3905at33682	Duplicated	Gene.10682::NODE_4342::g.10682::m.10682	259.3	322	https://v10-1.orthodb.org/?query=3905at33682	DEAD/DEAH box helicase domain
3905at33682	Duplicated	Gene.10953::NODE_4474::g.10953::m.10953	258.7	323	https://v10-1.orthodb.org/?query=3905at33682	DEAD/DEAH box helicase domain
4007at33682	Duplicated	Gene.18298::NODE_8519::g.18298::m.18298	373.5	443	https://v10-1.orthodb.org/?query=4007at33682	Pentatricopeptide repeat
4007at33682	Duplicated	Gene.27734::NODE_14518::g.27734::m.27734	365.4	415	https://v10-1.orthodb.org/?query=4007at33682	Pentatricopeptide repeat
4136at33682	Complete	Gene.5568::NODE_1919::g.5568::m.5568	533.6	562	https://v10-1.orthodb.org/?query=4136at33682	CCAAT-binding factor
4199at33682	Missing
4250at33682	Complete	Gene.4682::NODE_1556::g.4682::m.4682	191.4	257	https://v10-1.orthodb.org/?query=4250at33682	DNA repair metallo-beta-lactamase
4450at33682	Duplicated	Gene.14964::NODE_6596::g.14964::m.14964	538.7	461	https://v10-1.orthodb.org/?query=4450at33682	WD40/YVTN repeat-like-containing domain superfamily
4450at33682	Duplicated	Gene.14966::NODE_6597::g.14966::m.14966	538.7	461	https://v10-1.orthodb.org/?query=4450at33682	WD40/YVTN repeat-like-containing domain superfamily
4668at33682	Missing
4718at33682	Missing
4733at33682	Complete	Gene.26161::NODE_13445::g.26161::m.26161	303.1	280	https://v10-1.orthodb.org/?query=4733at33682	Pseudouridine synthase I, TruA
4838at33682	Duplicated	Gene.14678::NODE_6442::g.14678::m.14678	425.8	451	https://v10-1.orthodb.org/?query=4838at33682	Kinesin motor domain
