# BUSCO version is: 5.2.2 
# The lineage dataset is: euglenozoa_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 130)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
126at33682	Missing
140at33682	Missing
184at33682	Fragmented	Gene.16698::NODE_9107::g.16698::m.16698	780.2	636	https://v10-1.orthodb.org/?query=184at33682	Helicase, C-terminal
199at33682	Complete	Gene.9161::NODE_4420::g.9161::m.9161	1034.9	817	https://v10-1.orthodb.org/?query=199at33682	Acetyl-CoA carboxylase
206at33682	Complete	Gene.1554::NODE_484::g.1554::m.1554	2600.5	1616	https://v10-1.orthodb.org/?query=206at33682	Helicase, C-terminal
363at33682	Complete	Gene.3871::NODE_1537::g.3871::m.3871	347.0	768	https://v10-1.orthodb.org/?query=363at33682	SWAP/Surp
395at33682	Complete	Gene.818::NODE_205::g.818::m.818	790.1	958	https://v10-1.orthodb.org/?query=395at33682	Type II pantothenate kinase
408at33682	Complete	Gene.5191::NODE_2183::g.5191::m.5191	444.8	791	https://v10-1.orthodb.org/?query=408at33682	Armadillo-type fold
442at33682	Complete	Gene.3165::NODE_1196::g.3165::m.3165	1018.0	1214	https://v10-1.orthodb.org/?query=442at33682	Immunoglobulin-like fold
454at33682	Complete	Gene.2217::NODE_770::g.2217::m.2217	736.0	944	https://v10-1.orthodb.org/?query=454at33682	Sec7 domain
467at33682	Missing
608at33682	Complete	Gene.5187::NODE_2180::g.5187::m.5187	967.3	970	https://v10-1.orthodb.org/?query=608at33682	DNA2/NAM7 helicase, AAA domain
863at33682	Complete	Gene.4767::NODE_1975::g.4767::m.4767	874.1	923	https://v10-1.orthodb.org/?query=863at33682	DNA polymerase
884at33682	Missing
965at33682	Missing
1175at33682	Duplicated	Gene.17737::NODE_9802::g.17737::m.17737	692.8	705	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1175at33682	Duplicated	Gene.7269::NODE_3308::g.7269::m.7269	644.7	1150	https://v10-1.orthodb.org/?query=1175at33682	WD40 repeat
1207at33682	Missing
1392at33682	Complete	Gene.14835::NODE_7918::g.14835::m.14835	692.7	752	https://v10-1.orthodb.org/?query=1392at33682	Ribonuclease H superfamily
1408at33682	Missing
1439at33682	Missing
1528at33682	Complete	Gene.12064::NODE_6157::g.12064::m.12064	278.9	472	https://v10-1.orthodb.org/?query=1528at33682	SNF2-related, N-terminal domain
1572at33682	Complete	Gene.12753::NODE_6596::g.12753::m.12753	1034.9	726	https://v10-1.orthodb.org/?query=1572at33682	Rrp44-like cold shock domain
1732at33682	Complete	Gene.9853::NODE_4817::g.9853::m.9853	558.1	705	https://v10-1.orthodb.org/?query=1732at33682	WD40 repeat
1814at33682	Complete	Gene.27738::NODE_17054::g.27738::m.27738	114.3	213	https://v10-1.orthodb.org/?query=1814at33682	Acyl-CoA binding protein, putative
1820at33682	Complete	Gene.8167::NODE_3832::g.8167::m.8167	689.6	643	https://v10-1.orthodb.org/?query=1820at33682	SNF2-related, N-terminal domain
1881at33682	Fragmented	Gene.36323::NODE_24056::g.36323::m.36323	488.5	372	https://v10-1.orthodb.org/?query=1881at33682	Tetratricopeptide-like helical domain superfamily
1904at33682	Complete	Gene.5074::NODE_2120::g.5074::m.5074	1036.8	822	https://v10-1.orthodb.org/?query=1904at33682	26S Proteasome non-ATPase regulatory subunit 1
1927at33682	Complete	Gene.8741::NODE_4169::g.8741::m.8741	548.4	615	https://v10-1.orthodb.org/?query=1927at33682	Peroxisome biogenesis factor 1
2035at33682	Complete	Gene.12383::NODE_6365::g.12383::m.12383	1000.8	813	https://v10-1.orthodb.org/?query=2035at33682	WD40 repeat
2058at33682	Missing
2142at33682	Complete	Gene.550::NODE_118::g.550::m.550	925.1	1075	https://v10-1.orthodb.org/?query=2142at33682	SMCs flexible hinge
2207at33682	Missing
2282at33682	Complete	Gene.12300::NODE_6312::g.12300::m.12300	526.0	699	https://v10-1.orthodb.org/?query=2282at33682	Importin beta-1 subunit
2363at33682	Complete	Gene.1348::NODE_397::g.1348::m.1348	359.8	458	https://v10-1.orthodb.org/?query=2363at33682	Ubiquitin specific protease, conserved site
2770at33682	Complete	Gene.11845::NODE_6027::g.11845::m.11845	481.6	598	https://v10-1.orthodb.org/?query=2770at33682	Gamma tubulin complex component, C-terminal
